Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.693	36.599	218.36
2.0	21.693	36.599	218.0
3.0	21.693	36.599	217.71
4.0	21.693	36.599	217.53
5.0	21.695	36.597	217.47
6.0	21.693	36.597	217.52
6.9	21.691	36.597	217.72
7.9	21.687	36.597	218.06
8.9	21.68	36.599	218.56
9.9	21.655	36.601	219.25
10.9	21.619	36.602	220.15
11.9	21.589	36.6	221.19
12.9	21.559	36.6	222.27
13.9	21.516	36.602	223.32
14.9	21.465	36.602	224.33
15.9	21.405	36.602	225.32
16.9	21.328	36.604	226.28
17.9	21.26	36.599	227.16
18.9	21.21	36.594	227.95
19.9	21.131	36.599	228.62
20.8	21.0	36.605	229.16
21.8	20.854	36.597	229.56
22.8	20.731	36.585	229.86
23.8	20.648	36.576	230.12
24.8	20.602	36.569	230.4
25.8	20.584	36.563	230.69
26.8	20.563	36.562	230.96
27.8	20.543	36.56	231.2
28.8	20.524	36.557	231.43
29.8	20.514	36.555	231.71
30.8	20.509	36.553	232.1
31.8	20.506	36.552	232.59
32.8	20.504	36.552	233.19
33.7	20.502	36.552	233.88
34.7	20.498	36.552	234.67
35.7	20.467	36.557	235.56
36.7	20.374	36.566	236.56
37.7	20.181	36.572	237.69
38.7	19.885	36.577	238.97
39.7	19.408	36.566	240.35
40.7	18.777	36.521	241.75
41.7	18.396	36.476	243.07
42.7	18.267	36.457	244.31
43.7	18.15	36.442	245.47
44.7	18.093	36.428	246.56
45.7	18.071	36.418	247.55
46.7	18.059	36.416	248.39
47.6	18.035	36.415	249.06
48.6	18.009	36.414	249.55
49.6	17.98	36.414	249.89
50.6	17.945	36.414	250.12
51.6	17.912	36.414	250.29
52.6	17.876	36.413	250.47
53.6	17.812	36.411	250.64
54.6	17.722	36.404	250.74
55.6	17.656	36.397	250.74
56.6	17.619	36.397	250.68
57.6	17.556	36.404	250.62
58.6	17.476	36.401	250.55
59.6	17.428	36.39	250.45
60.5	17.398	36.387	250.32
61.5	17.365	36.383	250.11
62.5	17.339	36.377	249.82
63.5	17.314	36.376	249.42
64.5	17.256	36.38	248.96
65.5	17.168	36.38	248.47
66.5	17.106	36.37	247.97
67.5	17.077	36.361	247.46
68.5	17.059	36.357	246.92
69.5	17.05	36.354	246.33
70.5	17.043	36.354	245.7
71.5	17.027	36.355	245.04
72.5	16.99	36.356	244.35
73.4	16.918	36.357	243.65
74.4	16.814	36.352	242.94
75.4	16.737	36.339	242.23
76.4	16.704	36.328	241.52
77.4	16.678	36.322	240.8
78.4	16.654	36.313	240.06
79.4	16.634	36.308	239.3
80.4	16.597	36.31	238.54
81.4	16.551	36.315	237.77
82.4	16.507	36.313	237.03
83.4	16.466	36.304	236.27
84.4	16.444	36.295	235.46
85.4	16.436	36.291	234.59
86.3	16.404	36.297	233.66
87.3	16.301	36.307	232.67
88.3	16.17	36.292	231.66
89.3	16.106	36.262	230.61
90.3	16.091	36.246	229.53
91.3	16.076	36.243	228.43
92.3	16.063	36.24	227.34
93.3	16.045	36.24	226.24
94.3	16.022	36.238	225.16
95.3	16.002	36.234	224.12
96.3	15.99	36.23	223.12
97.3	15.978	36.229	222.13
98.3	15.952	36.229	221.13
99.2	15.908	36.227	220.07
100.2	15.857	36.22	218.97
101.2	15.824	36.21	217.85
102.2	15.808	36.204	216.74
103.2	15.79	36.201	215.63
104.2	15.769	36.194	214.52
105.2	15.75	36.186	213.46
106.2	15.696	36.18	212.47
107.2	15.618	36.172	211.56
108.2	15.597	36.167	210.78
109.2	15.58	36.165	210.18
110.2	15.556	36.163	209.82
111.2	15.536	36.158	209.68
112.1	15.526	36.154	209.73
113.1	15.519	36.153	209.88
114.1	15.511	36.152	210.1
115.1	15.502	36.151	210.38
116.1	15.491	36.15	210.7
117.1	15.48	36.148	211.04
118.1	15.47	36.146	211.4
119.1	15.459	36.145	211.74
120.1	15.443	36.143	212.03
121.1	15.43	36.14	212.21
122.1	15.422	36.137	212.29
123.1	15.417	36.135	212.29
124.0	15.412	36.135	212.25
125.0	15.406	36.134	212.21
126.0	15.401	36.133	212.18
127.0	15.397	36.132	212.14
128.0	15.382	36.131	212.07
129.0	15.345	36.129	211.96
130.0	15.298	36.125	211.79
131.0	15.237	36.119	211.56
132.0	15.174	36.107	211.32
133.0	15.143	36.094	211.07
134.0	15.135	36.088	210.83
135.0	15.125	36.086	210.59
136.0	15.108	36.084	210.33
136.9	15.089	36.078	210.03
137.9	15.075	36.074	209.71
138.9	15.065	36.072	209.37
139.9	15.051	36.072	209.05
140.9	15.031	36.072	208.8
141.9	15.009	36.068	208.61
142.9	14.987	36.062	208.43
143.9	14.965	36.057	208.24
144.9	14.94	36.055	208.03
145.9	14.908	36.053	207.8
146.9	14.877	36.05	207.6
147.9	14.853	36.045	207.45
148.8	14.836	36.038	207.33
149.8	14.827	36.034	207.22
150.8	14.815	36.032	207.08
151.8	14.792	36.031	206.91
152.8	14.753	36.03	206.73
153.8	14.712	36.026	206.59
154.8	14.686	36.017	206.5
155.8	14.671	36.009	206.45
156.8	14.657	36.004	206.41
157.8	14.647	36.0	206.36
158.8	14.632	35.998	206.29
159.8	14.619	35.998	206.23
160.8	14.614	35.997	206.21
161.7	14.607	35.996	206.24
162.7	14.602	35.995	206.29
163.7	14.6	35.995	206.34
164.7	14.582	35.994	206.34
165.7	14.553	35.991	206.33
166.7	14.534	35.988	206.31
167.7	14.514	35.987	206.29
168.7	14.491	35.983	206.26
169.7	14.474	35.977	206.23
170.7	14.466	35.974	206.15
171.7	14.455	35.973	206.03
172.7	14.439	35.971	205.88
173.6	14.427	35.97	205.73
174.6	14.413	35.967	205.61
175.6	14.392	35.964	205.5
176.6	14.36	35.961	205.37
177.6	14.318	35.954	205.21
178.6	14.291	35.949	205.06
179.6	14.286	35.946	204.93
180.6	14.284	35.945	204.85
181.6	14.282	35.945	204.79
182.6	14.28	35.944	204.74
183.6	14.276	35.944	204.67
184.6	14.269	35.944	204.56
185.5	14.259	35.943	204.42
186.5	14.248	35.942	204.28
187.5	14.241	35.94	204.19
188.5	14.236	35.938	204.14
189.5	14.233	35.937	204.09
190.5	14.231	35.936	204.03
191.5	14.224	35.935	203.94
192.5	14.214	35.934	203.85
193.5	14.208	35.934	203.8
194.5	14.205	35.933	203.81
195.5	14.199	35.933	203.87
196.5	14.194	35.932	203.96
197.5	14.186	35.931	204.06
198.4	14.16	35.93	204.14
199.4	14.123	35.927	204.19
200.4	14.103	35.921	204.22
201.4	14.097	35.918	204.25
202.4	14.093	35.917	204.29
203.4	14.088	35.916	204.32
204.4	14.082	35.916	204.33
205.4	14.073	35.915	204.32
206.4	14.064	35.914	204.28
207.4	14.057	35.911	204.24
208.4	14.049	35.911	204.18
209.4	14.037	35.91	204.14
210.3	14.026	35.908	204.1
211.3	14.019	35.907	204.07
212.3	14.01	35.906	204.06
213.3	13.991	35.907	204.06
214.3	13.964	35.905	204.07
215.3	13.945	35.899	204.09
216.3	13.934	35.894	204.1
217.3	13.921	35.892	204.09
218.3	13.905	35.891	204.04
219.3	13.883	35.89	203.97
220.3	13.86	35.888	203.9
221.3	13.847	35.885	203.84
222.2	13.836	35.882	203.81
223.2	13.823	35.879	203.78
224.2	13.813	35.876	203.76
225.2	13.801	35.875	203.71
226.2	13.787	35.874	203.64
227.2	13.779	35.872	203.59
228.2	13.773	35.87	203.59
229.2	13.764	35.87	203.64
230.2	13.752	35.869	203.73
231.2	13.735	35.867	203.85
232.2	13.71	35.864	203.98
233.2	13.673	35.86	204.07
234.1	13.644	35.854	204.13
235.1	13.636	35.849	204.16
236.1	13.631	35.849	204.19
237.1	13.617	35.849	204.24
238.1	13.6	35.848	204.29
239.1	13.591	35.844	204.31
240.1	13.587	35.842	204.31
241.1	13.578	35.842	204.27
242.1	13.558	35.843	204.19
243.1	13.528	35.841	204.08
244.1	13.507	35.837	203.97
245.0	13.5	35.833	203.88
246.0	13.493	35.832	203.82
247.0	13.487	35.832	203.79
248.0	13.48	35.831	203.75
249.0	13.468	35.832	203.7
250.0	13.448	35.831	203.62
251.0	13.426	35.829	203.53
252.0	13.407	35.827	203.43
253.0	13.394	35.823	203.33
254.0	13.385	35.821	203.24
255.0	13.379	35.82	203.17
256.0	13.373	35.819	203.09
256.9	13.367	35.818	202.99
257.9	13.362	35.817	202.85
258.9	13.357	35.817	202.68
259.9	13.352	35.817	202.5
260.9	13.346	35.816	202.34
261.9	13.339	35.816	202.21
262.9	13.331	35.816	202.11
263.9	13.323	35.814	202.02
264.9	13.316	35.813	201.93
265.9	13.308	35.813	201.82
266.9	13.295	35.812	201.69
267.9	13.28	35.81	201.56
268.8	13.269	35.809	201.48
269.8	13.264	35.807	201.46
270.8	13.263	35.806	201.48
271.8	13.259	35.806	201.51
272.8	13.246	35.807	201.52
273.8	13.225	35.806	201.5
274.8	13.202	35.804	201.48
275.8	13.184	35.801	201.47
276.8	13.168	35.798	201.47
277.8	13.154	35.795	201.5
278.8	13.138	35.793	201.54
279.7	13.121	35.791	201.55
280.7	13.111	35.788	201.52
281.7	13.108	35.786	201.44
282.7	13.106	35.786	201.34
283.7	13.099	35.786	201.24
284.7	13.091	35.786	201.16
285.7	13.082	35.785	201.11
286.7	13.072	35.783	201.07
287.7	13.067	35.78	201.04
288.7	13.065	35.779	200.99
289.7	13.057	35.778	200.93
290.7	13.047	35.778	200.88
291.6	13.043	35.777	200.87
292.6	13.041	35.777	200.89
293.6	13.037	35.776	200.95
294.6	13.034	35.776	201.02
295.6	13.03	35.775	201.08
296.6	13.024	35.775	201.13
297.6	13.007	35.776	201.17
298.6	12.981	35.775	201.24
299.6	12.956	35.77	201.32
300.6	12.933	35.766	201.41
301.6	12.913	35.761	201.48
302.5	12.902	35.758	201.53
303.5	12.895	35.757	201.56
304.5	12.884	35.758	201.58
305.5	12.868	35.756	201.59
306.5	12.85	35.754	201.59
307.5	12.831	35.751	201.57
308.5	12.81	35.747	201.51
309.5	12.792	35.744	201.42
310.5	12.779	35.741	201.31
311.5	12.77	35.738	201.18
312.5	12.764	35.736	201.06
313.5	12.756	35.736	200.94
314.4	12.742	35.737	200.81
315.4	12.725	35.735	200.66
316.4	12.709	35.733	200.5
317.4	12.693	35.731	200.34
318.4	12.68	35.729	200.18
