Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.448	36.604	233.82
2.0	21.448	36.604	232.92
3.0	21.448	36.604	232.02
4.0	21.448	36.604	231.12
5.0	21.448	36.604	230.22
6.0	21.447	36.604	229.33
6.9	21.446	36.604	228.54
7.9	21.447	36.604	227.87
8.9	21.449	36.604	227.31
9.9	21.45	36.604	226.85
10.9	21.451	36.604	226.51
11.9	21.452	36.604	226.26
12.9	21.455	36.604	226.11
13.9	21.455	36.604	226.08
14.9	21.452	36.605	226.17
15.9	21.445	36.606	226.39
16.9	21.439	36.605	226.73
17.9	21.436	36.605	227.16
18.9	21.432	36.605	227.64
19.9	21.415	36.607	228.19
20.8	21.378	36.607	228.8
21.8	21.339	36.605	229.49
22.8	21.308	36.603	230.29
23.8	21.283	36.603	231.22
24.8	21.229	36.605	232.29
25.8	21.144	36.606	233.49
26.8	21.059	36.601	234.82
27.8	20.917	36.602	236.28
28.8	20.649	36.605	237.86
29.8	20.21	36.578	239.55
30.8	19.717	36.55	241.31
31.8	19.158	36.54	243.11
32.8	18.686	36.497	244.89
33.7	18.551	36.455	246.6
34.7	18.456	36.436	248.21
35.7	18.376	36.432	249.68
36.7	18.275	36.435	250.98
37.7	18.148	36.435	252.1
38.7	18.025	36.422	253.03
39.7	17.942	36.405	253.76
40.7	17.865	36.399	254.3
41.7	17.781	36.396	254.64
42.7	17.69	36.394	254.8
43.7	17.579	36.393	254.83
44.7	17.469	36.383	254.76
45.7	17.394	36.37	254.58
46.7	17.351	36.364	254.3
47.6	17.315	36.362	253.96
48.6	17.28	36.359	253.56
49.6	17.248	36.356	253.12
50.6	17.2	36.356	252.63
51.6	17.134	36.358	252.12
52.6	17.064	36.356	251.6
53.6	17.009	36.348	251.07
54.6	16.986	36.338	250.51
55.6	16.974	36.335	249.9
56.6	16.94	36.336	249.24
57.6	16.888	36.337	248.55
58.6	16.832	36.335	247.84
59.6	16.769	36.332	247.09
60.5	16.703	36.327	246.31
61.5	16.636	36.32	245.49
62.5	16.56	36.31	244.62
63.5	16.499	36.3	243.71
64.5	16.464	36.293	242.77
65.5	16.433	36.29	241.81
66.5	16.406	36.288	240.86
67.5	16.383	36.285	239.91
68.5	16.364	36.281	238.97
69.5	16.349	36.278	238.03
70.5	16.329	36.277	237.07
71.5	16.291	36.276	236.11
72.5	16.234	36.273	235.14
73.4	16.181	36.265	234.17
74.4	16.146	36.256	233.19
75.4	16.131	36.249	232.2
76.4	16.119	36.248	231.2
77.4	16.088	36.247	230.2
78.4	16.061	36.24	229.19
79.4	16.049	36.236	228.19
80.4	16.026	36.235	227.19
81.4	15.984	36.233	226.22
82.4	15.923	36.229	225.27
83.4	15.854	36.22	224.34
84.4	15.813	36.208	223.43
85.4	15.794	36.201	222.55
86.3	15.767	36.197	221.69
87.3	15.729	36.193	220.86
88.3	15.667	36.189	220.06
89.3	15.611	36.179	219.29
90.3	15.582	36.168	218.57
91.3	15.554	36.162	217.88
92.3	15.511	36.157	217.21
93.3	15.47	36.148	216.54
94.3	15.447	36.14	215.88
95.3	15.437	36.137	215.24
96.3	15.426	36.135	214.59
97.3	15.413	36.135	213.91
98.3	15.385	36.134	213.19
99.2	15.345	36.127	212.45
100.2	15.319	36.118	211.69
101.2	15.315	36.114	210.9
102.2	15.311	36.114	210.11
103.2	15.3	36.113	209.35
104.2	15.284	36.11	208.65
105.2	15.263	36.106	208.0
106.2	15.243	36.103	207.42
107.2	15.232	36.101	206.96
108.2	15.214	36.099	206.64
109.2	15.184	36.095	206.46
110.2	15.168	36.093	206.39
111.2	15.153	36.09	206.43
112.1	15.133	36.088	206.53
113.1	15.105	36.088	206.69
114.1	15.083	36.081	206.89
115.1	15.076	36.075	207.12
116.1	15.072	36.073	207.35
117.1	15.063	36.072	207.56
118.1	15.055	36.07	207.72
119.1	15.038	36.07	207.81
120.1	15.01	36.069	207.85
121.1	14.98	36.065	207.86
122.1	14.948	36.06	207.83
123.1	14.918	36.054	207.78
124.0	14.9	36.047	207.72
125.0	14.892	36.044	207.64
126.0	14.88	36.042	207.53
127.0	14.864	36.04	207.38
128.0	14.854	36.036	207.22
129.0	14.85	36.035	207.07
130.0	14.845	36.035	206.95
131.0	14.834	36.035	206.84
132.0	14.817	36.034	206.73
133.0	14.798	36.03	206.6
134.0	14.781	36.027	206.45
135.0	14.768	36.023	206.27
136.0	14.756	36.021	206.09
136.9	14.742	36.022	205.94
137.9	14.71	36.023	205.84
138.9	14.663	36.02	205.8
139.9	14.632	36.008	205.77
140.9	14.618	36.001	205.72
141.9	14.604	35.998	205.64
142.9	14.588	35.996	205.57
143.9	14.57	35.995	205.52
144.9	14.546	35.993	205.52
145.9	14.518	35.989	205.55
146.9	14.502	35.983	205.6
147.9	14.498	35.979	205.63
148.8	14.493	35.978	205.63
149.8	14.483	35.978	205.59
150.8	14.465	35.978	205.55
151.8	14.447	35.975	205.52
152.8	14.428	35.972	205.49
153.8	14.404	35.969	205.46
154.8	14.378	35.965	205.41
155.8	14.355	35.962	205.34
156.8	14.328	35.959	205.25
157.8	14.307	35.954	205.16
158.8	14.299	35.949	205.07
159.8	14.29	35.948	204.99
160.8	14.276	35.947	204.91
161.7	14.256	35.946	204.81
162.7	14.232	35.945	204.71
163.7	14.206	35.941	204.62
164.7	14.184	35.937	204.55
165.7	14.172	35.932	204.49
166.7	14.159	35.929	204.44
167.7	14.141	35.929	204.38
168.7	14.112	35.927	204.29
169.7	14.091	35.921	204.2
170.7	14.085	35.918	204.12
171.7	14.079	35.917	204.04
172.7	14.07	35.916	203.99
173.6	14.056	35.915	203.94
174.6	14.036	35.913	203.88
175.6	14.015	35.911	203.79
176.6	13.993	35.908	203.66
177.6	13.969	35.904	203.52
178.6	13.95	35.903	203.42
179.6	13.924	35.9	203.36
180.6	13.903	35.896	203.32
181.6	13.891	35.891	203.31
182.6	13.886	35.888	203.28
183.6	13.879	35.888	203.22
184.6	13.869	35.887	203.14
185.5	13.858	35.887	203.07
186.5	13.841	35.887	203.05
187.5	13.808	35.887	203.06
188.5	13.777	35.88	203.1
189.5	13.765	35.872	203.1
190.5	13.762	35.871	203.07
191.5	13.755	35.871	202.98
192.5	13.743	35.87	202.85
193.5	13.731	35.869	202.73
194.5	13.717	35.868	202.64
195.5	13.7	35.866	202.6
196.5	13.686	35.862	202.58
197.5	13.679	35.859	202.54
198.4	13.674	35.858	202.47
199.4	13.664	35.858	202.38
200.4	13.647	35.859	202.31
201.4	13.63	35.856	202.28
202.4	13.621	35.853	202.29
203.4	13.608	35.852	202.34
204.4	13.587	35.851	202.4
205.4	13.568	35.847	202.42
206.4	13.552	35.844	202.41
207.4	13.533	35.842	202.35
208.4	13.51	35.84	202.28
209.4	13.49	35.837	202.2
210.3	13.474	35.833	202.13
211.3	13.467	35.83	202.07
212.3	13.464	35.83	202.01
213.3	13.457	35.829	201.95
214.3	13.446	35.829	201.86
215.3	13.432	35.828	201.76
216.3	13.417	35.827	201.67
217.3	13.401	35.825	201.61
218.3	13.386	35.823	201.57
219.3	13.38	35.82	201.56
220.3	13.374	35.818	201.57
221.3	13.368	35.817	201.57
222.2	13.358	35.817	201.56
223.2	13.344	35.816	201.5
224.2	13.329	35.815	201.43
225.2	13.318	35.814	201.35
226.2	13.311	35.814	201.27
227.2	13.307	35.814	201.18
228.2	13.304	35.813	201.08
229.2	13.3	35.813	200.97
230.2	13.292	35.814	200.85
231.2	13.281	35.813	200.71
232.2	13.269	35.811	200.56
233.2	13.261	35.81	200.43
234.1	13.257	35.809	200.32
235.1	13.252	35.809	200.25
236.1	13.246	35.809	200.2
237.1	13.239	35.808	200.15
238.1	13.235	35.807	200.1
239.1	13.23	35.807	200.04
240.1	13.223	35.806	199.97
241.1	13.216	35.805	199.9
242.1	13.21	35.805	199.84
243.1	13.204	35.805	199.79
244.1	13.194	35.804	199.72
245.0	13.179	35.803	199.64
246.0	13.164	35.801	199.53
247.0	13.147	35.799	199.43
248.0	13.129	35.797	199.36
249.0	13.115	35.794	199.32
250.0	13.105	35.792	199.32
251.0	13.096	35.791	199.33
252.0	13.084	35.79	199.37
253.0	13.075	35.789	199.42
254.0	13.068	35.787	199.51
255.0	13.061	35.787	199.62
256.0	13.051	35.787	199.76
256.9	13.032	35.787	199.91
257.9	13.011	35.784	200.06
