Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	20.351	36.433	222.02
2.0	20.351	36.433	222.81
3.0	20.351	36.433	223.62
4.0	20.351	36.433	224.46
5.0	20.351	36.433	225.37
6.0	20.351	36.433	226.36
6.9	20.326	36.434	227.48
7.9	20.288	36.435	228.71
8.9	20.264	36.435	229.99
9.9	20.248	36.435	231.3
10.9	20.225	36.435	232.58
11.9	20.185	36.437	233.82
12.9	20.124	36.438	235.0
13.9	20.054	36.435	236.11
14.9	19.992	36.429	237.14
15.9	19.934	36.425	238.09
16.9	19.864	36.422	238.97
17.9	19.77	36.42	239.77
18.9	19.634	36.414	240.54
19.9	19.466	36.4	241.3
20.8	19.311	36.383	242.04
21.8	19.209	36.363	242.79
22.8	19.155	36.349	243.55
23.8	19.126	36.346	244.32
24.8	19.096	36.345	245.1
25.8	19.034	36.354	245.89
26.8	18.783	36.372	246.68
27.8	18.252	36.376	247.45
28.8	17.701	36.371	248.15
29.8	17.373	36.358	248.75
30.8	17.232	36.335	249.23
31.8	17.169	36.321	249.57
32.8	17.102	36.318	249.79
33.7	17.034	36.319	249.87
34.7	16.967	36.321	249.84
35.7	16.893	36.319	249.7
36.7	16.824	36.315	249.43
37.7	16.766	36.306	249.05
38.7	16.707	36.296	248.56
39.7	16.66	36.288	248.01
40.7	16.63	36.285	247.43
41.7	16.605	36.287	246.84
42.7	16.57	36.289	246.27
43.7	16.522	36.285	245.71
44.7	16.473	36.279	245.18
45.7	16.429	36.274	244.66
46.7	16.389	36.272	244.15
47.6	16.362	36.269	243.66
48.6	16.346	36.266	243.2
49.6	16.328	36.263	242.75
50.6	16.303	36.26	242.28
51.6	16.283	36.257	241.78
52.6	16.263	36.257	241.25
53.6	16.232	36.256	240.66
54.6	16.188	36.255	240.03
55.6	16.133	36.255	239.35
56.6	16.078	36.247	238.62
57.6	16.045	36.238	237.82
58.6	16.028	36.233	236.97
59.6	16.003	36.23	236.06
60.5	15.968	36.228	235.11
61.5	15.931	36.225	234.13
62.5	15.899	36.221	233.15
63.5	15.869	36.218	232.18
64.5	15.836	36.214	231.21
65.5	15.806	36.209	230.27
66.5	15.784	36.203	229.36
67.5	15.774	36.199	228.48
68.5	15.768	36.196	227.65
69.5	15.755	36.195	226.86
70.5	15.725	36.196	226.13
71.5	15.672	36.195	225.48
72.5	15.615	36.183	224.91
73.4	15.576	36.172	224.4
74.4	15.557	36.166	223.94
75.4	15.543	36.162	223.5
76.4	15.53	36.159	223.08
77.4	15.516	36.157	222.67
78.4	15.503	36.154	222.29
79.4	15.493	36.153	221.93
80.4	15.47	36.155	221.59
81.4	15.409	36.154	221.25
82.4	15.347	36.138	220.88
83.4	15.322	36.123	220.47
84.4	15.314	36.119	220.05
85.4	15.294	36.121	219.61
86.3	15.258	36.121	219.21
87.3	15.229	36.112	218.83
88.3	15.213	36.104	218.46
89.3	15.205	36.101	218.06
90.3	15.201	36.1	217.63
91.3	15.187	36.102	217.17
92.3	15.16	36.103	216.67
93.3	15.134	36.099	216.12
94.3	15.111	36.092	215.53
95.3	15.097	36.087	214.87
96.3	15.084	36.082	214.16
97.3	15.058	36.079	213.36
98.3	15.008	36.074	212.49
99.2	14.962	36.065	211.62
100.2	14.939	36.056	210.76
101.2	14.927	36.053	209.92
102.2	14.917	36.052	209.11
103.2	14.908	36.05	208.37
104.2	14.892	36.048	207.72
105.2	14.863	36.045	207.16
106.2	14.838	36.041	206.7
107.2	14.814	36.038	206.32
108.2	14.791	36.035	206.05
109.2	14.759	36.032	205.85
110.2	14.729	36.026	205.69
111.2	14.713	36.02	205.54
112.1	14.707	36.017	205.42
113.1	14.701	36.016	205.31
114.1	14.694	36.015	205.2
115.1	14.687	36.014	205.09
116.1	14.681	36.012	204.99
117.1	14.674	36.011	204.89
