Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	19.998	36.378	220.44
2.0	19.998	36.378	221.19
3.0	19.998	36.378	221.94
4.0	19.998	36.378	222.71
5.0	19.998	36.378	223.51
6.0	19.998	36.378	224.41
6.9	19.998	36.378	225.46
7.9	20.017	36.379	226.66
8.9	20.03	36.381	227.93
9.9	20.019	36.381	229.19
10.9	20.009	36.381	230.41
11.9	19.997	36.381	231.58
12.9	19.975	36.385	232.7
13.9	19.896	36.391	233.77
14.9	19.758	36.391	234.78
15.9	19.642	36.387	235.7
16.9	19.565	36.385	236.54
17.9	19.493	36.389	237.27
18.9	19.363	36.384	237.92
19.9	19.209	36.363	238.52
20.8	19.153	36.341	239.13
21.8	19.149	36.332	239.78
22.8	19.144	36.332	240.48
23.8	19.129	36.334	241.22
24.8	19.089	36.342	242.01
25.8	18.983	36.362	242.82
26.8	18.776	36.388	243.67
27.8	18.442	36.411	244.55
28.8	18.023	36.413	245.43
29.8	17.732	36.385	246.28
30.8	17.622	36.359	247.06
31.8	17.555	36.352	247.76
32.8	17.482	36.355	248.35
33.7	17.393	36.356	248.85
34.7	17.314	36.347	249.23
35.7	17.278	36.336	249.5
36.7	17.255	36.332	249.64
37.7	17.225	36.335	249.67
38.7	17.167	36.34	249.59
39.7	17.085	36.342	249.41
40.7	17.011	36.337	249.14
41.7	16.945	36.332	248.81
42.7	16.85	36.332	248.41
43.7	16.737	36.327	247.93
44.7	16.66	36.312	247.37
45.7	16.618	36.301	246.74
46.7	16.583	36.298	246.04
47.6	16.533	36.298	245.29
48.6	16.481	36.293	244.51
49.6	16.439	36.288	243.68
50.6	16.392	36.285	242.83
51.6	16.336	36.28	241.95
52.6	16.281	36.272	241.06
53.6	16.247	36.264	240.16
54.6	16.224	36.258	239.26
55.6	16.203	36.255	238.36
56.6	16.176	36.255	237.46
57.6	16.139	36.253	236.56
58.6	16.104	36.25	235.64
59.6	16.064	36.247	234.71
60.5	16.024	36.241	233.8
61.5	16.004	36.234	232.89
62.5	15.994	36.231	232.01
63.5	15.975	36.23	231.16
64.5	15.954	36.228	230.36
65.5	15.942	36.225	229.62
66.5	15.936	36.223	228.96
67.5	15.93	36.222	228.37
68.5	15.923	36.221	227.85
69.5	15.917	36.221	227.42
70.5	15.91	36.22	227.06
71.5	15.903	36.219	226.75
72.5	15.897	36.218	226.49
73.4	15.89	36.217	226.26
74.4	15.878	36.217	226.05
75.4	15.862	36.216	225.84
76.4	15.843	36.214	225.63
77.4	15.821	36.211	225.4
78.4	15.8	36.207	225.15
79.4	15.774	36.204	224.9
80.4	15.736	36.201	224.63
81.4	15.703	36.194	224.34
82.4	15.682	36.188	224.02
83.4	15.664	36.185	223.68
84.4	15.629	36.182	223.31
85.4	15.583	36.175	222.91
86.3	15.541	36.168	222.48
87.3	15.502	36.162	222.02
88.3	15.465	36.155	221.52
89.3	15.439	36.147	220.99
90.3	15.417	36.141	220.41
91.3	15.395	36.137	219.77
92.3	15.374	36.132	219.07
93.3	15.342	36.129	218.3
94.3	15.295	36.122	217.44
95.3	15.264	36.114	216.51
96.3	15.253	36.109	215.53
97.3	15.239	36.107	214.51
98.3	15.206	36.103	213.46
99.2	15.163	36.095	212.41
100.2	15.142	36.088	211.37
101.2	15.133	36.086	210.35
102.2	15.12	36.083	209.39
103.2	15.109	36.082	208.51
104.2	15.103	36.081	207.76
105.2	15.091	36.08	207.16
106.2	15.069	36.079	206.71
107.2	15.045	36.077	206.39
108.2	15.017	36.073	206.19
109.2	14.998	36.067	206.07
110.2	14.99	36.064	206.02
111.2	14.984	36.062	206.03
112.1	14.978	36.061	206.08
113.1	14.97	36.06	206.14
114.1	14.96	36.059	206.19
115.1	14.947	36.058	206.23
116.1	14.925	36.056	206.23
117.1	14.897	36.053	206.21
118.1	14.873	36.048	206.15
119.1	14.857	36.043	206.08
120.1	14.843	36.04	206.0
121.1	14.823	36.038	205.91
122.1	14.8	36.035	205.81
123.1	14.776	36.032	205.71
124.0	14.753	36.028	205.64
125.0	14.733	36.025	205.59
126.0	14.712	36.021	205.57
127.0	14.694	36.017	205.58
128.0	14.683	36.013	205.62
129.0	14.675	36.011	205.69
130.0	14.654	36.011	205.8
131.0	14.603	36.01	205.97
132.0	14.547	36.0	206.2
133.0	14.522	35.989	206.48
134.0	14.509	35.985	206.8
135.0	14.485	35.984	207.16
136.0	14.453	35.979	207.55
136.9	14.436	35.972	207.97
137.9	14.43	35.97	208.39
138.9	14.425	35.968	208.8
139.9	14.422	35.967	209.2
140.9	14.42	35.967	209.57
141.9	14.417	35.966	209.89
142.9	14.414	35.966	210.15
143.9	14.412	35.966	210.38
144.9	14.409	35.965	210.56
145.9	14.401	35.965	210.68
146.9	14.384	35.965	210.73
147.9	14.358	35.962	210.7
148.8	14.336	35.958	210.58
149.8	14.32	35.954	210.38
150.8	14.301	35.952	210.1
151.8	14.266	35.95	209.77
152.8	14.225	35.945	209.37
153.8	14.195	35.938	208.9
154.8	14.176	35.936	208.36
155.8	14.162	35.935	207.76
156.8	14.15	35.934	207.13
157.8	14.141	35.933	206.5
158.8	14.133	35.932	205.89
159.8	14.125	35.931	205.33
160.8	14.118	35.93	204.79
161.7	14.111	35.929	204.29
162.7	14.106	35.928	203.84
163.7	14.102	35.927	203.46
164.7	14.097	35.926	203.16
165.7	14.089	35.926	202.93
166.7	14.079	35.924	202.75
167.7	14.072	35.922	202.6
168.7	14.067	35.921	202.48
169.7	14.059	35.921	202.37
170.7	14.05	35.92	202.27
171.7	14.044	35.919	202.21
172.7	14.035	35.918	202.17
173.6	14.022	35.917	202.16
174.6	14.008	35.915	202.13
175.6	13.993	35.913	202.08
176.6	13.978	35.912	202.02
177.6	13.963	35.91	201.98
178.6	13.946	35.908	201.94
179.6	13.924	35.907	201.91
180.6	13.894	35.904	201.89
181.6	13.864	35.899	201.87
182.6	13.84	35.894	201.82
183.6	13.821	35.89	201.74
184.6	13.806	35.887	201.64
185.5	13.797	35.884	201.55
186.5	13.791	35.883	201.48
187.5	13.788	35.882	201.44
188.5	13.786	35.881	201.4
189.5	13.783	35.881	201.36
190.5	13.78	35.881	201.31
191.5	13.773	35.881	201.24
192.5	13.756	35.881	201.15
193.5	13.73	35.881	201.09
194.5	13.708	35.876	201.07
195.5	13.695	35.871	201.08
196.5	13.682	35.869	201.08
197.5	13.668	35.867	201.06
198.4	13.654	35.865	201.01
199.4	13.637	35.863	200.93
200.4	13.626	35.86	200.86
201.4	13.622	35.858	200.81
202.4	13.621	35.857	200.8
203.4	13.617	35.858	200.81
204.4	13.6	35.859	200.81
205.4	13.57	35.857	200.79
206.4	13.545	35.853	200.76
207.4	13.529	35.848	200.73
208.4	13.515	35.847	200.71
209.4	13.495	35.845	200.71
210.3	13.477	35.842	200.7
211.3	13.46	35.839	200.67
212.3	13.446	35.837	200.6
213.3	13.436	35.835	200.51
214.3	13.431	35.833	200.41
215.3	13.43	35.832	200.32
216.3	13.429	35.831	200.23
217.3	13.428	35.832	200.14
218.3	13.425	35.831	200.05
219.3	13.422	35.831	199.97
220.3	13.419	35.831	199.91
221.3	13.416	35.83	199.88
222.2	13.414	35.83	199.88
223.2	13.413	35.829	199.87
224.2	13.411	35.83	199.83
225.2	13.4	35.83	199.79
226.2	13.382	35.829	199.73
227.2	13.363	35.827	199.67
228.2	13.347	35.824	199.59
229.2	13.334	35.82	199.51
