Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	20.739	36.523	226.04
2.0	20.739	36.523	226.3
3.0	20.739	36.523	226.56
4.0	20.739	36.523	226.83
5.0	20.739	36.523	227.13
6.0	20.739	36.523	227.49
6.9	20.777	36.521	227.93
7.9	20.806	36.521	228.44
8.9	20.81	36.526	228.99
9.9	20.775	36.53	229.54
10.9	20.725	36.53	230.07
11.9	20.676	36.53	230.6
12.9	20.634	36.53	231.12
13.9	20.58	36.533	231.64
14.9	20.489	36.534	232.15
15.9	20.361	36.531	232.63
16.9	20.161	36.517	233.04
17.9	19.961	36.493	233.4
18.9	19.871	36.476	233.73
19.9	19.801	36.47	234.05
20.8	19.725	36.466	234.4
21.8	19.686	36.458	234.78
22.8	19.663	36.453	235.18
23.8	19.619	36.455	235.57
24.8	19.568	36.452	235.95
25.8	19.551	36.452	236.35
26.8	19.554	36.459	236.82
27.8	19.549	36.466	237.39
28.8	19.53	36.473	238.07
29.8	19.403	36.485	238.83
30.8	19.096	36.486	239.62
31.8	18.808	36.464	240.41
32.8	18.612	36.445	241.18
33.7	18.331	36.452	241.97
34.7	17.935	36.457	242.81
35.7	17.574	36.422	243.68
36.7	17.436	36.374	244.51
37.7	17.428	36.35	245.26
38.7	17.407	36.343	245.88
39.7	17.358	36.35	246.35
40.7	17.271	36.362	246.69
41.7	17.146	36.365	246.96
42.7	17.011	36.348	247.16
43.7	16.947	36.326	247.28
44.7	16.895	36.323	247.26
45.7	16.789	36.326	247.09
46.7	16.69	36.317	246.78
47.6	16.636	36.304	246.38
48.6	16.588	36.298	245.93
49.6	16.536	36.294	245.43
50.6	16.493	36.288	244.9
51.6	16.46	36.281	244.34
52.6	16.436	36.278	243.73
53.6	16.413	36.275	243.06
54.6	16.387	36.273	242.39
55.6	16.351	36.271	241.72
56.6	16.31	36.267	241.1
57.6	16.28	36.262	240.51
58.6	16.264	36.257	239.96
59.6	16.251	36.253	239.42
60.5	16.236	36.252	238.84
61.5	16.218	36.251	238.24
62.5	16.191	36.25	237.61
63.5	16.158	36.248	236.99
64.5	16.135	36.243	236.38
65.5	16.11	36.241	235.74
66.5	16.067	36.238	235.05
67.5	16.023	36.231	234.3
68.5	15.998	36.224	233.48
69.5	15.979	36.221	232.61
70.5	15.951	36.221	231.75
71.5	15.915	36.22	230.93
72.5	15.883	36.215	230.16
73.4	15.855	36.21	229.39
74.4	15.834	36.206	228.62
75.4	15.815	36.202	227.83
76.4	15.804	36.199	227.11
77.4	15.797	36.198	226.46
78.4	15.791	36.197	225.86
79.4	15.781	36.196	225.3
80.4	15.764	36.196	224.75
81.4	15.731	36.195	224.21
82.4	15.689	36.19	223.68
83.4	15.664	36.183	223.18
84.4	15.65	36.178	222.73
85.4	15.626	36.176	222.31
86.3	15.598	36.173	221.91
87.3	15.574	36.167	221.5
88.3	15.554	36.164	221.1
89.3	15.54	36.162	220.77
90.3	15.523	36.16	220.51
91.3	15.497	36.157	220.31
92.3	15.463	36.151	220.14
93.3	15.432	36.144	219.95
94.3	15.402	36.139	219.71
95.3	15.377	36.136	219.42
96.3	15.355	36.133	219.11
97.3	15.337	36.13	218.78
98.3	15.321	36.127	218.44
99.2	15.303	36.124	218.06
100.2	15.282	36.121	217.61
101.2	15.257	36.117	217.1
102.2	15.218	36.113	216.57
103.2	15.162	36.102	216.04
104.2	15.112	36.091	215.57
105.2	15.088	36.084	215.21
106.2	15.067	36.078	214.95
107.2	15.047	36.075	214.76
108.2	15.023	36.073	214.63
109.2	15.004	36.071	214.58
110.2	14.987	36.07	214.62
111.2	14.96	36.068	214.74
112.1	14.932	36.062	214.93
113.1	14.917	36.056	215.16
114.1	14.911	36.053	215.38
115.1	14.904	36.052	215.56
116.1	14.887	36.053	215.71
117.1	14.854	36.053	215.84
118.1	14.819	36.047	215.96
119.1	14.803	36.039	216.07
120.1	14.798	36.034	216.18
121.1	14.792	36.033	216.25
122.1	14.778	36.032	216.27
123.1	14.752	36.03	216.26
124.0	14.721	36.027	216.23
125.0	14.694	36.022	216.23
126.0	14.674	36.016	216.26
127.0	14.66	36.011	216.3
128.0	14.652	36.008	216.34
129.0	14.645	36.006	216.36
130.0	14.637	36.005	216.35
131.0	14.632	36.003	216.32
132.0	14.629	36.002	216.31
133.0	14.628	36.002	216.32
134.0	14.626	36.002	216.33
135.0	14.623	36.002	216.32
136.0	14.62	36.001	216.27
136.9	14.614	36.001	216.19
137.9	14.606	36.0	216.08
138.9	14.593	35.999	215.95
139.9	14.572	35.997	215.8
140.9	14.551	35.993	215.64
141.9	14.532	35.99	215.49
142.9	14.513	35.988	215.32
143.9	14.481	35.985	215.11
144.9	14.444	35.981	214.88
145.9	14.426	35.973	214.67
146.9	14.423	35.968	214.49
147.9	14.419	35.967	214.35
148.8	14.413	35.967	214.21
149.8	14.407	35.966	214.06
150.8	14.401	35.965	213.9
151.8	14.392	35.964	213.73
152.8	14.374	35.964	213.54
153.8	14.349	35.962	213.33
154.8	14.328	35.958	213.09
155.8	14.302	35.955	212.85
156.8	14.268	35.951	212.6
157.8	14.233	35.945	212.31
158.8	14.201	35.939	211.98
159.8	14.171	35.933	211.64
160.8	14.159	35.928	211.28
161.7	14.154	35.925	210.91
162.7	14.15	35.924	210.49
163.7	14.146	35.924	210.03
164.7	14.136	35.925	209.56
165.7	14.115	35.925	209.09
166.7	14.091	35.923	208.61
167.7	14.075	35.919	208.1
168.7	14.061	35.918	207.55
169.7	14.051	35.917	206.97
170.7	14.04	35.917	206.38
171.7	14.019	35.917	205.79
