Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	17.664	36.022	235.33
2.0	17.664	36.022	236.95
3.0	17.664	36.022	238.58
4.0	17.664	36.022	240.25
5.0	17.664	36.022	241.97
6.0	17.664	36.022	243.78
6.9	17.668	36.022	245.71
7.9	17.668	36.023	247.73
8.9	17.658	36.024	249.72
9.9	17.638	36.025	251.62
10.9	17.6	36.028	253.39
11.9	17.55	36.028	255.03
12.9	17.521	36.023	256.51
13.9	17.513	36.021	257.82
14.9	17.495	36.022	258.94
15.9	17.416	36.023	259.88
16.9	17.325	36.021	260.63
17.9	17.296	36.017	261.22
18.9	17.291	36.015	261.68
19.9	17.284	36.016	262.07
20.8	17.269	36.017	262.42
21.8	17.232	36.02	262.74
22.8	17.171	36.023	263.03
23.8	17.109	36.019	263.32
24.8	17.058	36.019	263.61
25.8	16.974	36.026	263.9
26.8	16.86	36.027	264.16
27.8	16.782	36.018	264.36
28.8	16.743	36.012	264.52
29.8	16.721	36.012	264.65
30.8	16.686	36.014	264.76
31.8	16.651	36.013	264.85
32.8	16.633	36.01	264.91
33.7	16.63	36.008	264.92
34.7	16.627	36.008	264.89
35.7	16.622	36.009	264.81
36.7	16.616	36.008	264.72
37.7	16.614	36.008	264.68
38.7	16.605	36.009	264.68
39.7	16.594	36.009	264.72
40.7	16.588	36.008	264.75
41.7	16.583	36.007	264.75
42.7	16.572	36.007	264.67
43.7	16.554	36.007	264.5
44.7	16.535	36.008	264.26
45.7	16.506	36.012	263.92
46.7	16.467	36.018	263.43
47.6	16.424	36.024	262.75
48.6	16.37	36.04	261.83
49.6	16.301	36.069	260.66
50.6	16.203	36.097	259.22
51.6	16.088	36.112	257.55
52.6	16.009	36.117	255.68
53.6	15.924	36.118	253.67
54.6	15.819	36.109	251.58
55.6	15.762	36.096	249.44
56.6	15.743	36.099	247.28
57.6	15.722	36.113	245.15
58.6	15.679	36.124	243.1
59.6	15.627	36.125	241.17
60.5	15.594	36.124	239.4
61.5	15.58	36.123	237.81
62.5	15.569	36.121	236.39
63.5	15.561	36.12	235.13
64.5	15.558	36.119	234.02
65.5	15.553	36.12	233.03
66.5	15.521	36.124	232.13
67.5	15.454	36.126	231.32
68.5	15.387	36.12	230.56
69.5	15.339	36.114	229.85
70.5	15.28	36.109	229.15
71.5	15.214	36.1	228.47
72.5	15.165	36.091	227.79
73.4	15.124	36.087	227.13
74.4	15.066	36.085	226.5
75.4	15.004	36.075	225.9
76.4	14.969	36.064	225.33
77.4	14.953	36.058	224.78
78.4	14.943	36.055	224.27
79.4	14.931	36.054	223.8
80.4	14.913	36.052	223.38
81.4	14.899	36.048	223.01
82.4	14.89	36.046	222.68
83.4	14.882	36.045	222.38
84.4	14.876	36.044	222.11
85.4	14.866	36.043	221.86
86.3	14.855	36.042	221.63
87.3	14.837	36.042	221.41
88.3	14.789	36.041	221.19
89.3	14.718	36.031	220.97
90.3	14.668	36.018	220.74
91.3	14.642	36.012	220.49
92.3	14.617	36.009	220.21
93.3	14.587	36.006	219.88
94.3	14.549	36.004	219.5
95.3	14.511	35.998	219.08
96.3	14.486	35.99	218.62
97.3	14.479	35.987	218.13
98.3	14.472	35.986	217.63
99.2	14.459	35.985	217.13
100.2	14.437	35.982	216.63
101.2	14.411	35.979	216.13
102.2	14.384	35.974	215.65
103.2	14.365	35.969	215.23
104.2	14.351	35.967	214.92
105.2	14.329	35.963	214.73
106.2	14.311	35.961	214.63
107.2	14.295	35.959	214.61
108.2	14.277	35.956	214.62
109.2	14.26	35.953	214.68
110.2	14.248	35.951	214.75
111.2	14.239	35.949	214.84
112.1	14.234	35.947	214.95
113.1	14.228	35.946	215.06
114.1	14.216	35.947	215.16
115.1	14.192	35.945	215.21
116.1	14.17	35.94	215.21
117.1	14.163	35.936	215.16
118.1	14.161	35.934	215.09
119.1	14.155	35.934	215.0
120.1	14.15	35.933	214.91
121.1	14.145	35.932	214.83
122.1	14.139	35.932	214.76
123.1	14.13	35.932	214.69
124.0	14.119	35.93	214.61
125.0	14.11	35.928	214.51
126.0	14.102	35.926	214.38
127.0	14.095	35.924	214.23
128.0	14.09	35.923	214.06
129.0	14.077	35.924	213.86
130.0	14.05	35.923	213.64
131.0	14.023	35.918	213.39
132.0	14.007	35.913	213.08
133.0	14.001	35.912	212.73
134.0	14.0	35.911	212.36
135.0	13.999	35.911	211.97
136.0	13.997	35.911	211.58
136.9	13.991	35.911	211.2
137.9	13.983	35.91	210.83
138.9	13.978	35.909	210.46
139.9	13.975	35.909	210.11
140.9	13.97	35.908	209.78
141.9	13.967	35.908	209.47
142.9	13.965	35.907	209.2
143.9	13.96	35.907	208.94
144.9	13.951	35.907	208.71
145.9	13.94	35.905	208.47
146.9	13.934	35.903	208.24
147.9	13.925	35.904	208.02
148.8	13.902	35.906	207.81
149.8	13.873	35.903	207.61
150.8	13.854	35.897	207.42
151.8	13.846	35.893	207.23
152.8	13.832	35.892	207.04
153.8	13.809	35.891	206.87
154.8	13.791	35.887	206.73
155.8	13.777	35.884	206.61
156.8	13.766	35.881	206.52
157.8	13.756	35.879	206.45
158.8	13.742	35.878	206.41
159.8	13.725	35.877	206.39
160.8	13.714	35.874	206.38
161.7	13.705	35.872	206.39
162.7	13.697	35.871	206.41
163.7	13.689	35.869	206.43
164.7	13.68	35.868	206.45
165.7	13.668	35.868	206.46
166.7	13.64	35.868	206.46
167.7	13.593	35.864	206.46
168.7	13.546	35.855	206.46
169.7	13.519	35.847	206.44
