Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	19.358	36.411	231.45
2.0	19.358	36.411	231.11
3.0	19.358	36.411	230.81
4.0	19.358	36.411	230.56
5.0	19.358	36.411	230.41
6.0	19.348	36.414	230.35
6.9	19.329	36.422	230.38
7.9	19.284	36.432	230.52
8.9	19.235	36.431	230.81
9.9	19.17	36.425	231.22
10.9	19.069	36.417	231.76
11.9	18.992	36.408	232.46
12.9	18.957	36.402	233.3
13.9	18.933	36.399	234.21
14.9	18.914	36.396	235.13
15.9	18.901	36.394	236.02
16.9	18.881	36.394	236.87
17.9	18.853	36.395	237.7
18.9	18.812	36.4	238.48
19.9	18.745	36.406	239.2
20.8	18.675	36.402	239.86
21.8	18.621	36.396	240.48
22.8	18.572	36.395	241.04
23.8	18.538	36.392	241.57
24.8	18.518	36.392	242.09
25.8	18.473	36.399	242.64
26.8	18.377	36.402	243.25
27.8	18.272	36.391	243.89
28.8	17.94	36.328	244.55
29.8	17.607	36.266	245.19
30.8	17.275	36.203	245.83
31.8	17.252	36.184	246.49
32.8	17.213	36.175	247.13
33.7	17.171	36.163	247.73
34.7	17.133	36.155	248.26
35.7	17.102	36.148	248.68
36.7	17.08	36.139	248.95
37.7	17.061	36.13	249.05
38.7	17.004	36.117	249.04
39.7	16.916	36.108	248.95
40.7	16.822	36.101	248.79
41.7	16.735	36.088	248.49
42.7	16.706	36.083	248.02
43.7	16.691	36.087	247.39
44.7	16.655	36.094	246.66
45.7	16.621	36.093	245.9
46.7	16.607	36.091	245.21
47.6	16.586	36.095	244.61
48.6	16.561	36.095	244.04
49.6	16.553	36.097	243.44
50.6	16.561	36.104	242.8
51.6	16.57	36.114	242.21
52.6	16.581	36.12	241.73
53.6	16.606	36.129	241.4
54.6	16.647	36.146	241.18
55.6	16.697	36.174	240.93
56.6	16.741	36.219	240.56
57.6	16.734	36.26	240.06
58.6	16.69	36.277	239.47
59.6	16.658	36.285	238.9
60.5	16.615	36.296	238.31
61.5	16.553	36.294	237.61
62.5	16.49	36.283	236.72
63.5	16.434	36.276	235.62
64.5	16.333	36.273	234.3
65.5	16.21	36.269	232.84
66.5	16.111	36.261	231.34
67.5	16.012	36.241	229.85
68.5	15.941	36.221	228.36
69.5	15.913	36.211	226.84
70.5	15.891	36.205	225.25
71.5	15.874	36.202	223.7
72.5	15.867	36.201	222.31
73.4	15.861	36.199	221.12
74.4	15.86	36.199	220.08
75.4	15.86	36.199	219.18
76.4	15.858	36.2	218.4
77.4	15.849	36.201	217.75
78.4	15.832	36.2	217.23
79.4	15.812	36.199	216.82
80.4	15.784	36.198	216.48
81.4	15.746	36.196	216.21
82.4	15.699	36.189	215.96
