Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.182	36.558	220.4
2.0	21.182	36.558	221.4
3.0	21.182	36.558	222.4
4.0	21.182	36.558	223.4
5.0	21.116	36.557	224.43
6.0	21.055	36.555	225.49
6.9	20.948	36.552	226.54
7.9	20.898	36.551	227.53
8.9	20.883	36.551	228.43
9.9	20.878	36.548	229.24
10.9	20.883	36.544	229.97
11.9	20.884	36.546	230.67
12.9	20.82	36.553	231.38
13.9	20.719	36.551	232.04
14.9	20.682	36.543	232.59
15.9	20.699	36.542	233.04
16.9	20.713	36.543	233.4
17.9	20.697	36.543	233.72
18.9	20.656	36.542	234.09
19.9	20.45	36.531	234.53
20.8	20.245	36.52	235.0
21.8	20.039	36.509	235.47
22.8	20.039	36.499	235.93
23.8	20.019	36.5	236.4
24.8	19.991	36.503	236.91
25.8	19.954	36.504	237.51
26.8	19.914	36.505	238.18
27.8	19.874	36.503	238.91
28.8	19.826	36.502	239.69
29.8	19.727	36.506	240.5
30.8	19.543	36.51	241.36
31.8	19.197	36.508	242.3
32.8	18.756	36.481	243.3
33.7	18.502	36.434	244.31
34.7	18.398	36.412	245.3
35.7	18.323	36.411	246.26
36.7	18.268	36.411	247.21
37.7	18.209	36.41	248.12
38.7	18.141	36.407	248.96
39.7	18.092	36.401	249.68
40.7	18.045	36.397	250.32
41.7	17.984	36.399	250.86
42.7	17.898	36.405	251.3
43.7	17.826	36.404	251.67
44.7	17.787	36.398	251.96
45.7	17.719	36.395	252.17
46.7	17.581	36.39	252.27
47.6	17.426	36.374	252.23
48.6	17.342	36.359	252.08
49.6	17.283	36.355	251.87
50.6	17.178	36.353	251.58
51.6	17.053	36.345	251.2
52.6	16.949	36.337	250.69
53.6	16.887	36.334	250.06
54.6	16.846	36.333	249.34
55.6	16.816	36.329	248.57
56.6	16.791	36.325	247.76
57.6	16.77	36.323	246.93
58.6	16.739	36.323	246.09
59.6	16.708	36.321	245.27
60.5	16.69	36.317	244.46
61.5	16.671	36.315	243.71
62.5	16.637	36.313	243.01
63.5	16.576	36.31	242.37
64.5	16.5	36.302	241.77
65.5	16.45	36.293	241.19
66.5	16.424	36.288	240.62
67.5	16.392	36.284	240.07
68.5	16.356	36.28	239.53
69.5	16.321	36.276	238.98
70.5	16.288	36.272	238.42
