Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.741	36.611	223.18
2.0	21.741	36.611	222.86
3.0	21.741	36.611	222.59
4.0	21.741	36.611	222.39
5.0	21.741	36.611	222.24
6.0	21.741	36.611	222.12
6.9	21.741	36.61	222.03
7.9	21.742	36.61	221.96
8.9	21.742	36.61	221.93
9.9	21.735	36.611	221.96
10.9	21.69	36.615	222.12
11.9	21.598	36.623	222.42
12.9	21.503	36.62	222.81
13.9	21.444	36.606	223.22
14.9	21.42	36.596	223.61
15.9	21.405	36.595	223.96
16.9	21.389	36.595	224.32
17.9	21.376	36.594	224.71
18.9	21.365	36.593	225.1
19.9	21.357	36.592	225.45
20.8	21.351	36.592	225.72
21.8	21.34	36.592	225.92
22.8	21.323	36.593	226.08
23.8	21.294	36.596	226.26
24.8	21.251	36.598	226.48
25.8	21.214	36.593	226.74
26.8	21.195	36.586	227.02
27.8	21.183	36.586	227.33
28.8	21.152	36.588	227.7
29.8	21.116	36.587	228.2
30.8	21.098	36.584	228.88
31.8	21.079	36.583	229.76
32.8	21.06	36.582	230.8
33.7	21.004	36.589	231.91
34.7	20.785	36.613	233.1
35.7	20.389	36.631	234.37
36.7	19.95	36.615	235.75
37.7	19.379	36.567	237.24
38.7	18.909	36.513	238.78
39.7	18.804	36.475	240.26
40.7	18.725	36.452	241.61
41.7	18.652	36.443	242.8
42.7	18.61	36.437	243.87
43.7	18.583	36.435	244.83
44.7	18.557	36.434	245.7
45.7	18.525	36.434	246.47
46.7	18.476	36.431	247.11
47.6	18.433	36.427	247.62
48.6	18.396	36.425	247.99
49.6	18.345	36.428	248.27
50.6	18.275	36.438	248.51
51.6	17.987	36.434	248.76
52.6	17.615	36.408	248.99
53.6	17.502	36.386	249.14
54.6	17.441	36.372	249.2
55.6	17.401	36.366	249.19
56.6	17.372	36.365	249.15
57.6	17.336	36.363	249.09
58.6	17.296	36.36	249.0
59.6	17.258	36.358	248.88
60.5	17.217	36.357	248.72
61.5	17.18	36.354	248.51
62.5	17.151	36.35	248.25
63.5	17.125	36.348	247.93
64.5	17.098	36.347	247.58
65.5	17.077	36.343	247.21
66.5	17.067	36.34	246.8
67.5	17.049	36.343	246.36
68.5	16.992	36.348	245.88
69.5	16.893	36.348	245.35
70.5	16.806	36.337	244.75
71.5	16.769	36.326	244.1
72.5	16.748	36.321	243.39
73.4	16.729	36.321	242.64
74.4	16.705	36.321	241.87
75.4	16.679	36.319	241.09
76.4	16.65	36.317	240.3
77.4	16.605	36.317	239.47
78.4	16.548	36.312	238.59
79.4	16.497	36.306	237.66
80.4	16.439	36.303	236.72
81.4	16.375	36.295	235.81
82.4	16.331	36.282	234.92
83.4	16.309	36.276	234.05
84.4	16.274	36.272	233.19
85.4	16.243	36.265	232.35
86.3	16.224	36.26	231.53
87.3	16.204	36.259	230.74
88.3	16.179	36.258	229.97
89.3	16.154	36.253	229.2
90.3	16.138	36.249	228.39
91.3	16.123	36.247	227.54
92.3	16.102	36.246	226.62
93.3	16.083	36.242	225.63
94.3	16.071	36.238	224.54
95.3	16.058	36.236	223.35
96.3	15.954	36.231	222.08
97.3	15.752	36.214	220.74
98.3	15.598	36.189	219.35
99.2	15.505	36.16	217.95
100.2	15.483	36.142	216.59
101.2	15.475	36.141	215.31
102.2	15.462	36.14	214.14
103.2	15.454	36.138	213.09
104.2	15.45	36.137	212.21
105.2	15.442	36.137	211.52
106.2	15.431	36.137	211.01
107.2	15.423	36.135	210.66
108.2	15.418	36.133	210.42
109.2	15.415	36.132	210.27
110.2	15.411	36.132	210.23
111.2	15.406	36.132	210.27
112.1	15.401	36.13	210.37
113.1	15.396	36.129	210.51
114.1	15.394	36.128	210.64
115.1	15.391	36.128	210.76
116.1	15.384	36.128	210.84
117.1	15.371	36.128	210.9
118.1	15.355	36.125	210.97
119.1	15.339	36.122	211.04
120.1	15.33	36.118	211.12
121.1	15.323	36.117	211.15
122.1	15.309	36.116	211.14
123.1	15.277	36.117	211.07
124.0	15.205	36.117	210.97
125.0	15.096	36.106	210.84
126.0	15.023	36.082	210.69
127.0	15.009	36.064	210.51
128.0	15.006	36.062	210.32
129.0	15.0	36.061	210.11
130.0	14.994	36.06	209.88
131.0	14.987	36.059	209.63
132.0	14.977	36.057	209.38
133.0	14.967	36.056	209.15
134.0	14.956	36.054	208.96
135.0	14.941	36.053	208.79
136.0	14.923	36.05	208.63
136.9	14.907	36.046	208.48
137.9	14.894	36.044	208.33
138.9	14.876	36.042	208.17
139.9	14.843	36.04	208.0
140.9	14.799	36.036	207.84
141.9	14.766	36.027	207.71
142.9	14.754	36.02	207.61
143.9	14.752	36.017	207.51
144.9	14.749	36.016	207.42
145.9	14.744	36.016	207.3
146.9	14.734	36.016	207.19
147.9	14.719	36.015	207.09
148.8	14.694	36.013	207.02
149.8	14.657	36.01	206.97
150.8	14.621	36.004	206.93
151.8	14.594	35.997	206.88
152.8	14.564	35.994	206.81
153.8	14.529	35.988	206.7
154.8	14.497	35.982	206.57
155.8	14.461	35.979	206.43
156.8	14.424	35.972	206.3
157.8	14.406	35.964	206.17
158.8	14.395	35.963	206.03
159.8	14.373	35.962	205.9
160.8	14.348	35.959	205.75
161.7	14.324	35.955	205.61
162.7	14.3	35.952	205.47
163.7	14.277	35.949	205.33
164.7	14.25	35.946	205.21
165.7	14.224	35.942	205.12
166.7	14.196	35.938	205.04
167.7	14.166	35.934	204.97
168.7	14.135	35.93	204.88
169.7	14.101	35.925	204.79
170.7	14.077	35.919	204.68
171.7	14.065	35.914	204.56
172.7	14.058	35.912	204.44
173.6	14.048	35.912	204.34
174.6	14.033	35.912	204.26
175.6	14.023	35.908	204.18
176.6	14.017	35.906	204.09
177.6	14.009	35.906	204.01
178.6	13.995	35.904	203.92
179.6	13.982	35.902	203.84
180.6	13.969	35.901	203.79
181.6	13.958	35.899	203.76
182.6	13.952	35.897	203.75
183.6	13.949	35.896	203.75
184.6	13.946	35.895	203.73
185.5	13.941	35.895	203.72
186.5	13.936	35.895	203.7
187.5	13.933	35.894	203.68
188.5	13.922	35.895	203.66
189.5	13.905	35.893	203.62
190.5	13.89	35.892	203.57
191.5	13.861	35.892	203.5
192.5	13.814	35.891	203.43
193.5	13.781	35.882	203.35
194.5	13.769	35.875	203.26
195.5	13.762	35.872	203.18
196.5	13.753	35.871	203.07
197.5	13.741	35.87	202.96
198.4	13.735	35.868	202.84
199.4	13.731	35.867	202.74
200.4	13.726	35.867	202.67
201.4	13.719	35.867	202.62
202.4	13.711	35.866	202.58
203.4	13.704	35.865	202.53
204.4	13.695	35.864	202.47
205.4	13.685	35.863	202.41
206.4	13.673	35.862	202.36
207.4	13.661	35.86	202.32
208.4	13.647	35.859	202.3
209.4	13.629	35.857	202.29
210.3	13.605	35.854	202.27
211.3	13.582	35.849	202.22
212.3	13.568	35.846	202.16
213.3	13.556	35.844	202.08
214.3	13.546	35.843	202.02
215.3	13.534	35.842	202.0
216.3	13.521	35.841	201.99
217.3	13.508	35.839	201.98
218.3	13.495	35.838	201.96
219.3	13.475	35.837	201.92
220.3	13.45	35.834	201.88
221.3	13.433	35.83	201.85
222.2	13.422	35.827	201.84
223.2	13.413	35.824	201.85
224.2	13.409	35.823	201.86
225.2	13.406	35.822	201.86
226.2	13.403	35.822	201.83
227.2	13.401	35.822	201.79
228.2	13.398	35.822	201.76
229.2	13.394	35.821	201.74
230.2	13.39	35.821	201.74
231.2	13.386	35.82	201.74
232.2	13.384	35.819	201.74
233.2	13.383	35.819	201.73
234.1	13.38	35.819	201.7
235.1	13.37	35.82	201.66
236.1	13.345	35.821	201.62
237.1	13.314	35.818	201.59
238.1	13.296	35.812	201.56
239.1	13.29	35.808	201.52
240.1	13.288	35.806	201.47
241.1	13.288	35.805	201.4
242.1	13.288	35.805	201.29
243.1	13.286	35.806	201.17
244.1	13.278	35.807	201.07
245.0	13.26	35.808	201.0
246.0	13.239	35.806	200.94
247.0	13.227	35.803	200.88
248.0	13.221	35.801	200.82
249.0	13.214	35.801	200.74
250.0	13.208	35.8	200.66
251.0	13.202	35.8	200.6
252.0	13.19	35.801	200.58
253.0	13.171	35.802	200.59
254.0	13.158	35.799	200.63
255.0	13.151	35.796	200.66
