Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	17.617	36.007	249.2
2.0	17.617	36.007	249.43
3.0	17.617	36.007	249.68
4.0	17.617	36.007	249.98
5.0	17.617	36.007	250.33
6.0	17.613	36.007	250.76
6.9	17.547	36.01	251.3
7.9	17.437	36.015	251.95
8.9	17.362	36.015	252.71
9.9	17.306	36.011	253.57
10.9	17.27	36.007	254.51
11.9	17.229	36.01	255.51
12.9	17.152	36.017	256.53
13.9	16.964	36.024	257.57
14.9	16.732	36.021	258.6
15.9	16.585	36.014	259.59
16.9	16.454	36.017	260.51
17.9	16.255	36.024	261.32
18.9	16.032	36.025	261.97
19.9	15.892	36.017	262.43
20.8	15.824	36.011	262.65
21.8	15.794	36.01	262.61
22.8	15.767	36.013	262.3
23.8	15.715	36.02	261.71
24.8	15.651	36.025	260.86
25.8	15.594	36.024	259.75
26.8	15.535	36.024	258.4
27.8	15.466	36.025	256.84
28.8	15.408	36.024	255.1
29.8	15.385	36.025	253.22
30.8	15.382	36.029	251.26
31.8	15.382	36.034	249.28
32.8	15.38	36.037	247.34
33.7	15.375	36.04	245.45
34.7	15.368	36.042	243.63
35.7	15.361	36.044	241.88
36.7	15.354	36.046	240.22
37.7	15.349	36.05	238.64
38.7	15.345	36.055	237.14
39.7	15.341	36.061	235.72
40.7	15.33	36.072	234.38
41.7	15.314	36.082	233.11
42.7	15.299	36.086	231.89
43.7	15.278	36.087	230.71
44.7	15.242	36.085	229.6
45.7	15.208	36.08	228.56
46.7	15.187	36.076	227.6
47.6	15.166	36.074	226.72
48.6	15.145	36.071	225.92
49.6	15.121	36.069	225.21
50.6	15.093	36.067	224.59
51.6	15.071	36.065	224.04
52.6	15.057	36.063	223.56
53.6	15.047	36.061	223.14
54.6	15.038	36.06	222.79
55.6	15.031	36.059	222.47
56.6	15.021	36.059	222.19
57.6	15.003	36.059	221.94
58.6	14.973	36.057	221.71
59.6	14.944	36.052	221.48
60.5	14.928	36.047	221.27
61.5	14.923	36.045	221.06
62.5	14.921	36.045	220.87
63.5	14.916	36.044	220.69
64.5	14.91	36.044	220.52
65.5	14.903	36.043	220.36
66.5	14.896	36.042	220.19
67.5	14.889	36.04	220.03
68.5	14.878	36.039	219.86
69.5	14.862	36.038	219.69
70.5	14.848	36.035	219.52
71.5	14.837	36.033	219.35
72.5	14.826	36.032	219.19
73.4	14.814	36.03	219.01
74.4	14.8	36.027	218.83
75.4	14.789	36.026	218.64
76.4	14.782	36.024	218.43
77.4	14.769	36.023	218.21
78.4	14.748	36.021	217.98
