Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	19.764	36.34	226.34
2.0	19.764	36.34	226.65
3.0	19.764	36.34	226.98
4.0	19.764	36.34	227.38
5.0	19.764	36.34	227.84
6.0	19.764	36.34	228.41
6.9	19.764	36.34	229.09
7.9	19.765	36.339	229.91
8.9	19.762	36.342	230.83
9.9	19.712	36.351	231.82
10.9	19.579	36.361	232.86
11.9	19.437	36.357	233.9
12.9	19.355	36.346	234.91
13.9	19.305	36.342	235.89
14.9	19.261	36.342	236.84
15.9	19.222	36.342	237.77
16.9	19.192	36.343	238.67
17.9	19.136	36.359	239.52
18.9	19.026	36.385	240.32
19.9	18.901	36.396	241.07
20.8	18.778	36.399	241.81
21.8	18.627	36.404	242.53
22.8	18.439	36.408	243.26
23.8	18.21	36.413	243.97
24.8	17.938	36.413	244.63
25.8	17.714	36.4	245.22
26.8	17.587	36.38	245.73
27.8	17.489	36.373	246.16
28.8	17.3	36.376	246.53
29.8	17.091	36.367	246.81
30.8	16.985	36.346	247.0
31.8	16.94	36.328	247.08
32.8	16.923	36.32	247.03
33.7	16.903	36.32	246.83
34.7	16.866	36.321	246.53
35.7	16.822	36.32	246.17
36.7	16.761	36.319	245.78
37.7	16.679	36.317	245.36
38.7	16.614	36.305	244.89
39.7	16.589	36.293	244.39
40.7	16.578	36.29	243.83
41.7	16.561	36.289	243.25
42.7	16.544	36.287	242.67
43.7	16.532	36.284	242.13
44.7	16.526	36.283	241.67
45.7	16.518	36.283	241.27
46.7	16.509	36.283	240.89
47.6	16.501	36.282	240.49
48.6	16.487	36.282	240.07
49.6	16.45	36.284	239.62
50.6	16.397	36.282	239.16
51.6	16.357	36.273	238.69
52.6	16.331	36.267	238.21
53.6	16.303	36.264	237.68
54.6	16.264	36.263	237.07
55.6	16.208	36.26	236.37
56.6	16.157	36.252	235.59
57.6	16.139	36.242	234.76
58.6	16.136	36.238	233.9
59.6	16.134	36.239	233.01
60.5	16.124	36.24	232.13
61.5	16.105	36.239	231.25
62.5	16.084	36.236	230.37
63.5	16.068	36.234	229.48
64.5	16.053	36.231	228.6
65.5	16.038	36.229	227.73
66.5	16.019	36.229	226.89
67.5	15.996	36.228	226.05
68.5	15.972	36.224	225.22
69.5	15.95	36.22	224.4
70.5	15.929	36.218	223.6
71.5	15.885	36.218	222.8
72.5	15.814	36.212	222.0
73.4	15.754	36.199	221.18
74.4	15.733	36.186	220.37
75.4	15.729	36.183	219.6
76.4	15.727	36.182	218.88
77.4	15.72	36.183	218.19
78.4	15.698	36.184	217.55
79.4	15.658	36.181	216.95
80.4	15.615	36.172	216.38
81.4	15.585	36.164	215.83
82.4	15.562	36.159	215.31
83.4	15.548	36.156	214.83
84.4	15.54	36.155	214.41
85.4	15.523	36.155	214.03
86.3	15.497	36.152	213.67
87.3	15.476	36.147	213.32
88.3	15.464	36.143	212.98
89.3	15.451	36.141	212.65
90.3	15.436	36.139	212.34
91.3	15.417	36.137	212.04
92.3	15.387	36.134	211.77
93.3	15.35	36.129	211.49
94.3	15.322	36.122	211.16
95.3	15.306	36.118	210.75
96.3	15.291	36.115	210.29
97.3	15.276	36.112	209.77
98.3	15.259	36.11	209.2
99.2	15.238	36.108	208.59
100.2	15.218	36.104	207.96
101.2	15.202	36.1	207.3
102.2	15.168	36.098	206.6
103.2	15.127	36.088	205.88
104.2	15.117	36.076	205.18
105.2	15.091	36.073	204.6
106.2	15.04	36.07	204.15
107.2	15.01	36.067	203.81
108.2	14.994	36.064	203.57
109.2	14.982	36.062	203.43
110.2	14.975	36.06	203.37
111.2	14.97	36.059	203.39
112.1	14.965	36.058	203.48
113.1	14.96	36.057	203.65
114.1	14.956	36.057	203.89
115.1	14.948	36.056	204.14
116.1	14.932	36.056	204.36
117.1	14.904	36.054	204.53
118.1	14.865	36.05	204.67
119.1	14.828	36.044	204.79
120.1	14.797	36.038	204.89
121.1	14.772	36.032	204.94
122.1	14.746	36.027	204.95
123.1	14.729	36.023	204.91
124.0	14.718	36.019	204.84
125.0	14.71	36.018	204.76
126.0	14.703	36.017	204.69
127.0	14.697	36.015	204.63
128.0	14.692	36.015	204.57
129.0	14.682	36.015	204.5
130.0	14.667	36.013	204.41
131.0	14.654	36.011	204.33
132.0	14.644	36.009	204.28
133.0	14.635	36.007	204.28
134.0	14.629	36.005	204.29
135.0	14.625	36.004	204.31
136.0	14.621	36.004	204.31
136.9	14.604	36.005	204.3
137.9	14.569	36.005	204.27
138.9	14.537	35.998	204.25
139.9	14.519	35.991	204.23
140.9	14.505	35.989	204.21
141.9	14.493	35.987	204.19
142.9	14.481	35.985	204.15
143.9	14.466	35.983	204.08
144.9	14.452	35.981	204.0
145.9	14.442	35.978	203.92
146.9	14.43	35.978	203.85
147.9	14.405	35.978	203.8
148.8	14.366	35.975	203.76
149.8	14.328	35.967	203.72
150.8	14.304	35.961	203.66
151.8	14.28	35.958	203.59
152.8	14.25	35.954	203.52
153.8	14.222	35.948	203.46
154.8	14.207	35.942	203.43
155.8	14.193	35.94	203.4
156.8	14.165	35.939	203.37
157.8	14.134	35.934	203.34
158.8	14.111	35.929	203.29
159.8	14.088	35.927	203.24
160.8	14.07	35.923	203.2
161.7	14.063	35.919	203.15
162.7	14.058	35.917	203.12
163.7	14.054	35.916	203.1
164.7	14.051	35.916	203.07
165.7	14.047	35.915	203.05
166.7	14.044	35.914	203.03
167.7	14.042	35.914	203.02
168.7	14.04	35.913	203.01
169.7	14.036	35.913	203.01
170.7	14.032	35.912	203.01
171.7	14.03	35.911	203.01
172.7	14.027	35.911	203.03
173.6	14.024	35.911	203.05
174.6	14.02	35.91	203.06
175.6	14.016	35.909	203.06
176.6	14.011	35.909	203.04
177.6	14.003	35.909	203.01
178.6	13.993	35.908	202.97
179.6	13.984	35.906	202.94
180.6	13.978	35.903	202.92
181.6	13.973	35.902	202.9
182.6	13.97	35.901	202.87
183.6	13.967	35.901	202.83
184.6	13.963	35.9	202.8
185.5	13.96	35.899	202.79
186.5	13.958	35.899	202.81
187.5	13.951	35.899	202.85
188.5	13.939	35.899	202.89
189.5	13.926	35.897	202.91
190.5	13.92	35.894	202.93
191.5	13.917	35.894	202.93
192.5	13.913	35.894	202.92
193.5	13.909	35.894	202.9
194.5	13.907	35.895	202.88
195.5	13.897	35.897	202.86
196.5	13.877	35.898	202.82
197.5	13.858	35.894	202.75
198.4	13.848	35.89	202.67
199.4	13.84	35.889	202.57
200.4	13.825	35.889	202.47
201.4	13.797	35.889	202.37
202.4	13.752	35.889	202.28
203.4	13.701	35.882	202.21
204.4	13.667	35.871	202.14
205.4	13.651	35.865	202.06
206.4	13.628	35.863	201.97
207.4	13.603	35.859	201.85
208.4	13.585	35.856	201.74
209.4	13.572	35.853	201.63
210.3	13.565	35.851	201.55
211.3	13.559	35.848	201.5
212.3	13.555	35.848	201.45
213.3	13.549	35.847	201.39
214.3	13.541	35.846	201.31
215.3	13.532	35.846	201.22
216.3	13.522	35.844	201.15
217.3	13.513	35.843	201.1
218.3	13.507	35.842	201.1
219.3	13.502	35.841	201.12
220.3	13.499	35.84	201.14
221.3	13.497	35.839	201.13
222.2	13.495	35.839	201.08
223.2	13.492	35.839	201.02
224.2	13.486	35.839	200.98
225.2	13.477	35.839	200.97
226.2	13.471	35.837	200.98
227.2	13.47	35.836	200.99
228.2	13.469	35.836	201.0
229.2	13.467	35.836	200.98
230.2	13.465	35.836	200.95
231.2	13.462	35.835	200.92
232.2	13.458	35.835	200.92
233.2	13.455	35.835	200.96
234.1	13.449	35.835	201.02
235.1	13.441	35.834	201.07
236.1	13.431	35.833	201.11
237.1	13.418	35.833	201.12
238.1	13.394	35.833	201.13
239.1	13.361	35.831	201.13
240.1	13.341	35.825	201.14
241.1	13.331	35.82	201.16
242.1	13.324	35.819	201.17
243.1	13.312	35.818	201.16
244.1	13.3	35.816	201.13
245.0	13.287	35.815	201.09
246.0	13.271	35.814	201.05
247.0	13.25	35.812	201.03
248.0	13.228	35.809	201.02
249.0	13.208	35.805	201.01
250.0	13.196	35.801	201.01
251.0	13.187	35.8	201.0
252.0	13.179	35.798	201.0
253.0	13.175	35.796	201.0
254.0	13.171	35.796	201.01
255.0	13.166	35.795	201.03
256.0	13.16	35.795	201.05
256.9	13.154	35.794	201.07
257.9	13.147	35.793	201.09
258.9	13.139	35.792	201.09
259.9	13.128	35.791	201.1
