Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	17.771	36.018	247.71
2.0	17.771	36.018	248.01
3.0	17.771	36.018	248.35
4.0	17.771	36.018	248.77
5.0	17.771	36.018	249.3
6.0	17.789	36.022	249.97
6.9	17.819	36.022	250.84
7.9	17.822	36.022	251.9
8.9	17.829	36.024	253.1
9.9	17.801	36.024	254.4
10.9	17.54	36.04	255.77
11.9	16.994	36.055	257.17
12.9	16.627	36.041	258.55
13.9	16.561	36.016	259.86
14.9	16.525	36.0	261.06
15.9	16.506	35.996	262.1
16.9	16.484	36.0	262.96
17.9	16.455	36.003	263.6
18.9	16.434	36.002	264.03
19.9	16.417	36.004	264.26
20.8	16.392	36.01	264.32
21.8	16.367	36.014	264.22
22.8	16.353	36.015	263.98
23.8	16.342	36.016	263.64
24.8	16.332	36.017	263.21
25.8	16.325	36.018	262.74
26.8	16.316	36.02	262.23
27.8	16.304	36.022	261.73
28.8	16.293	36.023	261.21
29.8	16.286	36.025	260.64
30.8	16.279	36.028	260.02
31.8	16.261	36.033	259.35
32.8	16.23	36.041	258.61
33.7	16.185	36.052	257.79
34.7	16.112	36.067	256.88
35.7	16.03	36.079	255.86
36.7	15.987	36.08	254.72
37.7	15.98	36.078	253.45
38.7	15.996	36.084	252.04
39.7	16.028	36.108	250.54
40.7	16.037	36.14	248.99
41.7	15.994	36.162	247.41
42.7	15.944	36.171	245.81
43.7	15.93	36.174	244.24
44.7	15.922	36.183	242.71
45.7	15.906	36.186	241.25
46.7	15.9	36.185	239.89
47.6	15.895	36.184	238.64
48.6	15.887	36.184	237.55
49.6	15.88	36.183	236.64
50.6	15.872	36.182	235.91
51.6	15.862	36.181	235.32
52.6	15.854	36.18	234.83
53.6	15.849	36.179	234.43
54.6	15.842	36.179	234.08
55.6	15.83	36.179	233.78
56.6	15.818	36.178	233.51
57.6	15.806	36.176	233.27
58.6	15.795	36.175	233.05
59.6	15.783	36.174	232.8
60.5	15.764	36.173	232.51
61.5	15.736	36.17	232.15
62.5	15.697	36.166	231.74
63.5	15.662	36.161	231.31
64.5	15.645	36.157	230.86
65.5	15.64	36.156	230.43
66.5	15.624	36.158	230.0
67.5	15.584	36.157	229.53
68.5	15.516	36.149	229.02
69.5	15.44	36.134	228.46
70.5	15.389	36.124	227.87
71.5	15.368	36.121	227.3
72.5	15.355	36.12	226.75
73.4	15.342	36.119	226.23
74.4	15.329	36.116	225.74
75.4	15.32	36.114	225.27
76.4	15.312	36.112	224.81
77.4	15.304	36.11	224.38
78.4	15.3	36.11	224.03
79.4	15.3	36.11	223.81
80.4	15.298	36.11	223.69
81.4	15.297	36.109	223.64
82.4	15.297	36.109	223.61
83.4	15.296	36.109	223.61
84.4	15.295	36.109	223.62
85.4	15.293	36.109	223.65
86.3	15.288	36.109	223.7
87.3	15.277	36.108	223.76
88.3	15.258	36.107	223.82
89.3	15.222	36.104	223.84
90.3	15.181	36.097	223.79
91.3	15.161	36.09	223.67
92.3	15.159	36.088	223.52
93.3	15.156	36.088	223.34
94.3	15.15	36.088	223.12
95.3	15.135	36.089	222.83
96.3	15.107	36.087	222.44
97.3	15.067	36.082	221.96
98.3	15.02	36.073	221.42
99.2	14.968	36.067	220.83
100.2	14.897	36.059	220.2
101.2	14.84	36.048	219.57
102.2	14.826	36.041	218.97
103.2	14.819	36.038	218.39
104.2	14.813	36.037	217.83
105.2	14.811	36.037	217.33
106.2	14.811	36.038	216.94
107.2	14.807	36.037	216.72
108.2	14.79	36.037	216.63
109.2	14.753	36.035	216.64
110.2	14.692	36.026	216.72
111.2	14.647	36.016	216.85
112.1	14.633	36.013	217.02
113.1	14.613	36.01	217.21
114.1	14.595	36.008	217.39
115.1	14.581	36.005	217.57
116.1	14.558	36.002	217.73
117.1	14.531	35.999	217.83
118.1	14.499	35.995	217.87
119.1	14.459	35.991	217.87
120.1	14.429	35.984	217.84
121.1	14.417	35.978	217.81
122.1	14.408	35.976	217.77
123.1	14.397	35.975	217.72
124.0	14.377	35.974	217.66
125.0	14.341	35.971	217.62
126.0	14.303	35.965	217.58
127.0	14.276	35.959	217.55
128.0	14.256	35.954	217.52
129.0	14.243	35.95	217.48
130.0	14.23	35.948	217.41
131.0	14.208	35.945	217.33
132.0	14.189	35.941	217.22
133.0	14.181	35.938	217.09
134.0	14.17	35.938	216.94
135.0	14.148	35.936	216.75
136.0	14.125	35.931	216.53
136.9	14.107	35.926	216.26
137.9	14.091	35.924	215.96
138.9	14.068	35.923	215.62
139.9	14.036	35.922	215.25
140.9	13.992	35.919	214.87
141.9	13.959	35.91	214.48
142.9	13.951	35.903	214.06
143.9	13.95	35.902	213.63
144.9	13.948	35.902	213.21
145.9	13.945	35.902	212.81
146.9	13.942	35.901	212.43
147.9	13.939	35.901	212.08
148.8	13.935	35.901	211.76
149.8	13.927	35.9	211.47
150.8	13.921	35.899	211.19
151.8	13.916	35.898	210.92
152.8	13.906	35.898	210.65
153.8	13.892	35.898	210.4
154.8	13.881	35.896	210.13
155.8	13.874	35.894	209.85
156.8	13.868	35.893	209.53
157.8	13.855	35.894	209.19
158.8	13.837	35.892	208.82
159.8	13.812	35.89	208.44
160.8	13.787	35.889	208.03
161.7	13.765	35.885	207.62
162.7	13.75	35.882	207.2
163.7	13.74	35.879	206.79
164.7	13.73	35.878	206.39
165.7	13.714	35.877	206.01
166.7	13.691	35.874	205.66
167.7	13.673	35.871	205.36
168.7	13.663	35.868	205.09
169.7	13.654	35.866	204.86
170.7	13.647	35.865	204.68
171.7	13.636	35.864	204.52
172.7	13.623	35.862	204.4
173.6	13.615	35.86	204.3
174.6	13.607	35.859	204.24
175.6	13.592	35.859	204.19
176.6	13.57	35.857	204.16
177.6	13.548	35.853	204.13
178.6	13.528	35.849	204.1
179.6	13.508	35.846	204.06
180.6	13.492	35.843	204.02
181.6	13.48	35.84	203.97
182.6	13.471	35.839	203.92
183.6	13.462	35.838	203.88
184.6	13.457	35.836	203.83
185.5	13.453	35.835	203.76
186.5	13.448	35.835	203.69
187.5	13.443	35.834	203.62
188.5	13.438	35.833	203.54
189.5	13.431	35.833	203.47
190.5	13.423	35.832	203.39
191.5	13.408	35.832	203.3
192.5	13.375	35.83	203.2
193.5	13.333	35.825	203.08
194.5	13.295	35.818	202.96
195.5	13.261	35.812	202.83
196.5	13.238	35.807	202.7
197.5	13.225	35.805	202.56
198.4	13.21	35.803	202.42
199.4	13.2	35.8	202.26
200.4	13.196	35.798	202.09
201.4	13.193	35.798	201.91
202.4	13.187	35.798	201.72
203.4	13.173	35.798	201.53
204.4	13.159	35.796	201.34
205.4	13.149	35.794	201.14
206.4	13.142	35.792	200.94
207.4	13.137	35.791	200.74
208.4	13.133	35.79	200.55
209.4	13.129	35.79	200.36
210.3	13.122	35.79	200.17
211.3	13.114	35.789	200.01
212.3	13.105	35.788	199.87
213.3	13.095	35.787	199.76
214.3	13.088	35.785	199.69
215.3	13.08	35.785	199.64
216.3	13.064	35.784	199.61
217.3	13.045	35.782	199.58
218.3	13.03	35.78	199.55
219.3	13.02	35.777	199.54
220.3	13.015	35.776	199.54
221.3	13.008	35.775	199.56
222.2	12.999	35.775	199.59
223.2	12.99	35.773	199.6
224.2	12.984	35.771	199.61
225.2	12.979	35.771	199.6
226.2	12.971	35.77	199.59
227.2	12.962	35.77	199.57
228.2	12.953	35.769	199.55
229.2	12.943	35.767	199.54
230.2	12.935	35.766	199.52
231.2	12.929	35.764	199.5
232.2	12.918	35.765	199.48
233.2	12.895	35.765	199.46
234.1	12.873	35.761	199.46
235.1	12.863	35.757	199.46
236.1	12.86	35.755	199.46
237.1	12.857	35.755	199.46
238.1	12.854	35.754	199.45
239.1	12.853	35.754	199.45
240.1	12.852	35.753	199.47
241.1	12.851	35.754	199.5
242.1	12.849	35.754	199.55
243.1	12.847	35.754	199.6
244.1	12.844	35.754	199.63
245.0	12.834	35.754	199.65
246.0	12.812	35.755	199.66
247.0	12.791	35.752	199.68
248.0	12.772	35.75	199.72
249.0	12.749	35.748	199.79
250.0	12.722	35.744	199.87
251.0	12.7	35.739	199.94
252.0	12.69	35.736	199.97
253.0	12.685	35.734	199.98
254.0	12.683	35.733	199.98
255.0	12.681	35.733	199.98
256.0	12.68	35.733	199.99
256.9	12.678	35.733	200.02
257.9	12.676	35.733	200.03
258.9	12.673	35.733	200.02
259.9	12.671	35.732	199.97
260.9	12.67	35.732	199.88
