Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	17.959	36.016	240.86
2.0	17.959	36.016	241.65
3.0	17.959	36.016	242.44
4.0	17.959	36.016	243.26
5.0	17.959	36.016	244.14
6.0	17.959	36.016	245.13
6.9	17.931	36.017	246.28
7.9	17.861	36.021	247.58
8.9	17.788	36.027	248.96
9.9	17.737	36.025	250.37
10.9	17.7	36.021	251.76
11.9	17.66	36.022	253.09
12.9	17.598	36.025	254.35
13.9	17.526	36.029	255.49
14.9	17.393	36.042	256.48
15.9	17.095	36.057	257.26
16.9	16.665	36.053	257.81
17.9	16.38	36.043	258.1
18.9	16.282	36.052	258.1
19.9	16.205	36.076	257.82
20.8	16.161	36.098	257.27
21.8	16.128	36.109	256.5
22.8	16.109	36.108	255.52
23.8	16.094	36.108	254.36
24.8	16.074	36.113	253.09
25.8	16.022	36.125	251.76
26.8	15.941	36.131	250.38
27.8	15.895	36.125	248.96
28.8	15.883	36.125	247.5
29.8	15.877	36.134	246.06
30.8	15.865	36.141	244.67
31.8	15.853	36.142	243.34
32.8	15.844	36.142	242.07
33.7	15.836	36.143	240.85
34.7	15.815	36.148	239.67
35.7	15.772	36.156	238.53
36.7	15.721	36.16	237.39
37.7	15.69	36.156	236.26
38.7	15.656	36.152	235.15
39.7	15.601	36.149	234.06
40.7	15.539	36.141	233.0
41.7	15.475	36.132	231.96
42.7	15.43	36.125	230.96
43.7	15.389	36.121	230.0
44.7	15.331	36.115	229.08
45.7	15.28	36.106	228.2
46.7	15.249	36.097	227.36
47.6	15.225	36.094	226.56
48.6	15.186	36.094	225.83
49.6	15.125	36.091	225.17
50.6	15.07	36.082	224.58
51.6	15.04	36.072	224.04
52.6	15.027	36.066	223.54
53.6	15.021	36.064	223.08
54.6	15.015	36.063	222.66
55.6	14.999	36.064	222.28
56.6	14.966	36.065	221.94
57.6	14.929	36.06	221.64
58.6	14.906	36.054	221.37
59.6	14.895	36.052	221.11
60.5	14.882	36.051	220.86
61.5	14.862	36.05	220.62
62.5	14.839	36.048	220.39
63.5	14.815	36.045	220.18
64.5	14.791	36.04	219.96
65.5	14.769	36.035	219.74
66.5	14.751	36.031	219.52
67.5	14.734	36.028	219.29
68.5	14.71	36.027	219.07
69.5	14.689	36.023	218.85
70.5	14.677	36.019	218.63
71.5	14.664	36.017	218.41
72.5	14.646	36.016	218.18
73.4	14.633	36.013	217.94
74.4	14.625	36.011	217.73
75.4	14.612	36.011	217.53
76.4	14.595	36.01	217.34
77.4	14.582	36.006	217.13
78.4	14.577	36.003	216.9
79.4	14.575	36.003	216.68
80.4	14.571	36.002	216.45
81.4	14.563	36.002	216.24
82.4	14.551	36.001	216.05
83.4	14.535	35.998	215.88
84.4	14.522	35.996	215.71
85.4	14.514	35.993	215.53
86.3	14.509	35.992	215.33
87.3	14.507	35.991	215.13
88.3	14.505	35.991	214.96
89.3	14.501	35.991	214.79
90.3	14.495	35.99	214.56
91.3	14.49	35.99	214.27
92.3	14.484	35.989	213.92
93.3	14.477	35.988	213.5
94.3	14.464	35.987	213.0
95.3	14.433	35.985	212.4
96.3	14.388	35.979	211.73
97.3	14.36	35.971	211.02
98.3	14.348	35.967	210.28
99.2	14.341	35.965	209.52
100.2	14.328	35.963	208.78
101.2	14.315	35.961	208.12
102.2	14.308	35.958	207.58
103.2	14.304	35.957	207.12
104.2	14.303	35.957	206.78
105.2	14.302	35.957	206.57
106.2	14.291	35.957	206.52
