Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.748	36.615	241.47
2.0	21.748	36.615	241.29
3.0	21.748	36.615	241.17
4.0	21.748	36.615	241.17
5.0	21.748	36.615	241.32
6.0	21.748	36.615	241.68
6.9	21.75	36.614	242.28
7.9	21.747	36.616	243.18
8.9	21.719	36.62	244.38
9.9	21.649	36.624	245.82
10.9	21.592	36.619	247.48
11.9	21.574	36.611	249.32
12.9	21.555	36.609	251.27
13.9	21.528	36.61	253.25
14.9	21.495	36.61	255.2
15.9	21.455	36.61	257.06
16.9	21.405	36.609	258.79
17.9	21.345	36.606	260.39
18.9	21.298	36.599	261.77
19.9	21.263	36.594	262.9
20.8	21.236	36.591	263.81
21.8	21.216	36.59	264.51
22.8	21.202	36.589	265.05
23.8	21.188	36.588	265.49
24.8	21.177	36.587	265.91
25.8	21.169	36.586	266.35
26.8	21.155	36.586	266.85
27.8	21.121	36.589	267.41
28.8	21.067	36.59	268.03
29.8	20.952	36.593	268.71
30.8	20.693	36.603	269.5
31.8	20.224	36.592	270.39
32.8	19.805	36.551	271.34
33.7	19.659	36.52	272.29
34.7	19.531	36.512	273.19
35.7	19.329	36.514	274.0
36.7	19.106	36.514	274.7
37.7	18.896	36.5	275.27
38.7	18.709	36.467	275.71
39.7	18.627	36.443	276.03
40.7	18.533	36.444	276.22
41.7	18.342	36.449	276.24
42.7	18.184	36.434	276.1
43.7	18.148	36.413	275.82
44.7	18.113	36.408	275.45
45.7	18.054	36.408	274.98
46.7	17.977	36.41	274.42
47.6	17.881	36.409	273.77
48.6	17.764	36.404	273.03
49.6	17.596	36.399	272.19
50.6	17.422	36.386	271.25
51.6	17.317	36.37	270.2
52.6	17.233	36.361	269.07
53.6	17.148	36.356	267.86
54.6	17.092	36.348	266.57
55.6	17.068	36.343	265.2
56.6	17.057	36.342	263.75
57.6	17.045	36.341	262.26
58.6	17.03	36.341	260.74
59.6	16.993	36.344	259.19
60.5	16.917	36.347	257.61
61.5	16.834	36.342	256.04
62.5	16.775	36.332	254.49
63.5	16.734	36.326	252.96
64.5	16.685	36.325	251.47
65.5	16.637	36.323	250.0
66.5	16.607	36.315	248.59
67.5	16.591	36.308	247.22
68.5	16.574	36.304	245.89
69.5	16.548	36.303	244.61
70.5	16.516	36.302	243.4
71.5	16.49	36.298	242.26
72.5	16.464	36.293	241.17
73.4	16.445	36.289	240.1
74.4	16.428	36.287	239.04
75.4	16.409	36.286	237.98
76.4	16.371	36.285	236.9
77.4	16.304	36.282	235.81
78.4	16.231	36.272	234.71
79.4	16.167	36.263	233.58
80.4	16.112	36.257	232.42
81.4	16.052	36.251	231.23
82.4	15.994	36.243	230.0
83.4	15.946	36.23	228.74
84.4	15.905	36.222	227.51
85.4	15.849	36.216	226.32
86.3	15.789	36.206	225.2
87.3	15.757	36.197	224.16
88.3	15.73	36.193	223.18
89.3	15.701	36.188	222.26
90.3	15.684	36.183	221.39
91.3	15.673	36.18	220.58
92.3	15.657	36.179	219.81
93.3	15.639	36.176	219.04
94.3	15.625	36.173	218.22
95.3	15.613	36.171	217.34
96.3	15.598	36.168	216.41
97.3	15.584	36.164	215.44
98.3	15.568	36.162	214.41
99.2	15.535	36.158	213.33
