Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
196.5	13.441	35.836	202.39
197.5	13.437	35.835	202.37
198.4	13.437	35.834	202.32
199.4	13.436	35.834	202.25
200.4	13.434	35.834	202.14
201.4	13.431	35.834	202.05
202.4	13.425	35.834	201.99
203.4	13.419	35.833	201.96
204.4	13.414	35.833	201.96
205.4	13.404	35.832	201.93
206.4	13.388	35.831	201.86
207.4	13.373	35.829	201.79
208.4	13.366	35.827	201.72
209.4	13.36	35.827	201.7
210.3	13.35	35.827	201.73
211.3	13.339	35.824	201.78
212.3	13.333	35.822	201.82
213.3	13.325	35.821	201.84
214.3	13.312	35.821	201.82
215.3	13.296	35.82	201.82
216.3	13.283	35.817	201.84
217.3	13.276	35.814	201.89
218.3	13.27	35.812	201.96
219.3	13.259	35.812	202.0
220.3	13.233	35.812	202.01
221.3	13.19	35.81	201.98
222.2	13.137	35.806	201.94
223.2	13.094	35.796	201.9
224.2	13.074	35.786	201.88
225.2	13.063	35.781	201.86
226.2	13.057	35.779	201.83
227.2	13.054	35.778	201.76
228.2	13.05	35.778	201.68
229.2	13.045	35.777	201.6
230.2	13.043	35.777	201.53
231.2	13.042	35.776	201.49
232.2	13.04	35.776	201.46
233.2	13.039	35.775	201.43
234.1	13.038	35.775	201.38
235.1	13.038	35.775	201.32
236.1	13.038	35.775	201.27
237.1	13.038	35.775	201.24
238.1	13.037	35.775	201.24
239.1	13.034	35.776	201.24
240.1	13.032	35.775	201.23
241.1	13.031	35.774	201.2
242.1	13.031	35.774	201.17
243.1	13.032	35.773	201.14
244.1	13.032	35.774	201.14
245.0	13.029	35.774	201.16
246.0	13.027	35.774	201.19
247.0	13.026	35.773	201.2
248.0	13.024	35.773	201.2
249.0	13.021	35.773	201.2
250.0	13.015	35.774	201.2
251.0	13.006	35.773	201.22
252.0	12.997	35.771	201.24
253.0	12.984	35.771	201.25
254.0	12.948	35.773	201.24
255.0	12.902	35.771	201.2
256.0	12.874	35.763	201.15
256.9	12.859	35.757	201.1
257.9	12.853	35.754	201.04
258.9	12.849	35.752	200.98
259.9	12.846	35.752	200.9
260.9	12.836	35.753	200.82
261.9	12.815	35.754	200.73
262.9	12.796	35.751	200.65
263.9	12.785	35.747	200.59
264.9	12.777	35.745	200.55
265.9	12.767	35.744	200.51
266.9	12.756	35.743	200.47
267.9	12.745	35.743	200.42
268.8	12.729	35.742	200.38
269.8	12.715	35.74	200.36
270.8	12.709	35.737	200.37
271.8	12.708	35.736	200.38
272.8	12.705	35.735	200.39
273.8	12.702	35.735	200.39
274.8	12.695	35.736	200.38
275.8	12.679	35.737	200.37
276.8	12.657	35.736	200.38
277.8	12.643	35.732	200.41
278.8	12.637	35.728	200.43
279.7	12.634	35.727	200.45
280.7	12.631	35.727	200.46
281.7	12.628	35.727	200.44
282.7	12.624	35.727	200.42
283.7	12.621	35.726	200.41
284.7	12.619	35.726	200.4
285.7	12.616	35.726	200.41
286.7	12.614	35.725	200.4
287.7	12.611	35.725	200.38
288.7	12.609	35.725	200.35
289.7	12.607	35.725	200.3
290.7	12.604	35.724	200.25
291.6	12.6	35.724	200.2
292.6	12.593	35.725	200.16
293.6	12.578	35.725	200.11
294.6	12.552	35.724	200.05
295.6	12.517	35.721	199.96
296.6	12.483	35.716	199.85
297.6	12.453	35.712	199.73
298.6	12.43	35.708	199.6
299.6	12.42	35.705	199.49
300.6	12.412	35.705	199.39
301.6	12.401	35.704	199.3
302.5	12.393	35.702	199.2
303.5	12.385	35.701	199.09
304.5	12.377	35.7	198.97
305.5	12.372	35.699	198.88
306.5	12.366	35.698	198.81
307.5	12.362	35.697	198.78
308.5	12.358	35.697	198.76
309.5	12.354	35.696	198.73
310.5	12.349	35.695	198.69
311.5	12.343	35.695	198.64
312.5	12.338	35.694	198.6
313.5	12.331	35.695	198.58
