Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
1.0	21.715	36.618	214.74
2.0	21.715	36.618	215.84
3.0	21.715	36.618	216.95
4.0	21.715	36.618	218.08
5.0	21.715	36.618	219.24
6.0	21.716	36.617	220.45
6.9	21.718	36.617	221.72
7.9	21.719	36.617	223.0
8.9	21.72	36.617	224.26
9.9	21.72	36.617	225.45
10.9	21.719	36.617	226.55
11.9	21.718	36.617	227.54
12.9	21.717	36.617	228.41
13.9	21.717	36.617	229.15
14.9	21.717	36.617	229.77
15.9	21.718	36.617	230.25
16.9	21.717	36.618	230.62
17.9	21.712	36.618	230.88
18.9	21.705	36.618	231.06
19.9	21.697	36.617	231.2
20.8	21.689	36.616	231.31
21.8	21.681	36.615	231.4
22.8	21.677	36.615	231.49
23.8	21.667	36.617	231.59
24.8	21.641	36.619	231.72
25.8	21.606	36.618	231.86
26.8	21.577	36.614	232.04
27.8	21.559	36.611	232.24
28.8	21.544	36.61	232.51
29.8	21.519	36.611	232.84
30.8	21.484	36.611	233.26
31.8	21.444	36.61	233.78
32.8	21.362	36.612	234.42
33.7	21.201	36.613	235.17
34.7	21.03	36.6	236.04
35.7	20.935	36.583	237.01
36.7	20.805	36.576	238.1
37.7	20.368	36.568	239.3
38.7	19.873	36.542	240.57
39.7	19.672	36.52	241.9
40.7	19.502	36.512	243.27
41.7	19.286	36.508	244.64
42.7	19.073	36.49	245.98
43.7	18.89	36.468	247.27
44.7	18.668	36.456	248.5
45.7	18.454	36.441	249.63
46.7	18.353	36.428	250.68
47.6	18.281	36.425	251.61
48.6	18.156	36.422	252.42
49.6	18.023	36.411	253.1
50.6	17.926	36.401	253.64
51.6	17.848	36.398	254.05
52.6	17.776	36.393	254.35
53.6	17.711	36.39	254.55
54.6	17.602	36.393	254.65
55.6	17.464	36.385	254.64
56.6	17.365	36.366	254.51
57.6	17.321	36.355	254.27
58.6	17.296	36.354	253.95
59.6	17.263	36.357	253.56
60.5	17.223	36.358	253.12
61.5	17.194	36.353	252.62
62.5	17.168	36.349	252.02
63.5	17.136	36.347	251.31
64.5	17.086	36.346	250.49
65.5	17.003	36.35	249.59
66.5	16.899	36.354	248.68
67.5	16.796	36.349	247.77
68.5	16.727	36.331	246.83
69.5	16.701	36.315	245.81
70.5	16.687	36.311	244.74
71.5	16.651	36.312	243.62
72.5	16.602	36.312	242.51
73.4	16.562	36.309	241.49
74.4	16.525	36.303	240.59
75.4	16.498	36.295	239.78
76.4	16.478	36.291	239.01
77.4	16.457	36.289	238.23
78.4	16.429	36.289	237.44
79.4	16.398	36.289	236.68
80.4	16.373	36.284	235.97
81.4	16.358	36.279	235.3
82.4	16.346	36.277	234.65
83.4	16.306	36.275	233.96
84.4	16.227	36.271	233.2
85.4	16.147	36.259	232.35
86.3	16.096	36.247	231.43
87.3	16.066	36.241	230.47
88.3	16.042	36.236	229.5
89.3	16.027	36.232	228.53
90.3	16.011	36.23	227.56
91.3	15.992	36.229	226.59
92.3	15.958	36.228	225.6
93.3	15.902	36.224	224.57
94.3	15.841	36.213	223.51
95.3	15.797	36.202	222.42
96.3	15.761	36.196	221.32
97.3	15.725	36.191	220.22
98.3	15.697	36.184	219.16
99.2	15.683	36.179	218.12
100.2	15.674	36.176	217.11
101.2	15.666	36.174	216.12
102.2	15.652	36.174	215.16
103.2	15.611	36.169	214.28
104.2	15.567	36.163	213.55
105.2	15.549	36.16	212.98
106.2	15.524	36.157	212.57
107.2	15.504	36.155	212.32
108.2	15.487	36.152	212.17
109.2	15.48	36.149	212.1
110.2	15.47	36.149	212.08
111.2	15.448	36.148	212.1
112.1	15.421	36.144	212.14
113.1	15.401	36.14	212.19
114.1	15.382	36.137	212.24
115.1	15.357	36.134	212.25
116.1	15.329	36.129	212.22
117.1	15.315	36.123	212.14
118.1	15.308	36.119	212.0
119.1	15.299	36.118	211.82
120.1	15.277	36.116	211.61
121.1	15.248	36.112	211.38
122.1	15.222	36.109	211.17
123.1	15.19	36.107	211.0
124.0	15.161	36.1	210.86
125.0	15.149	36.093	210.73
126.0	15.141	36.09	210.58
127.0	15.119	36.089	210.41
128.0	15.078	36.084	210.23
129.0	15.027	36.077	210.06
130.0	14.978	36.068	209.89
131.0	14.94	36.061	209.73
132.0	14.912	36.056	209.56
133.0	14.882	36.049	209.38
134.0	14.854	36.042	209.17
135.0	14.828	36.036	208.94
136.0	14.807	36.03	208.7
136.9	14.796	36.027	208.48
137.9	14.791	36.026	208.29
138.9	14.786	36.025	208.13
139.9	14.776	36.024	208.0
140.9	14.759	36.023	207.89
141.9	14.742	36.02	207.78
142.9	14.727	36.016	207.69
143.9	14.711	36.014	207.61
144.9	14.691	36.011	207.54
145.9	14.676	36.008	207.49
146.9	14.668	36.005	207.45
147.9	14.662	36.004	207.41
148.8	14.646	36.003	207.37
149.8	14.62	36.001	207.33
150.8	14.599	35.996	207.27
151.8	14.588	35.993	207.22
152.8	14.583	35.99	207.17
153.8	14.579	35.99	207.13
154.8	14.566	35.99	207.1
155.8	14.552	35.988	207.07
156.8	14.54	35.986	207.05
157.8	14.523	35.984	207.02
158.8	14.5	35.98	207.0
159.8	14.481	35.976	206.98
160.8	14.472	35.974	206.95
161.7	14.464	35.972	206.92
162.7	14.457	35.971	206.9
163.7	14.443	35.971	206.86
164.7	14.415	35.97	206.82
165.7	14.376	35.966	206.76
166.7	14.351	35.959	206.71
167.7	14.337	35.956	206.64
168.7	14.307	35.956	206.58
169.7	14.274	35.949	206.52
170.7	14.254	35.943	206.45
171.7	14.239	35.94	206.38
172.7	14.228	35.938	206.31
173.6	14.224	35.936	206.24
174.6	14.221	35.935	206.18
175.6	14.219	35.935	206.13
176.6	14.214	35.935	206.08
177.6	14.204	35.935	206.05
178.6	14.191	35.934	206.01
179.6	14.173	35.933	205.96
180.6	14.148	35.931	205.91
181.6	14.125	35.927	205.86
182.6	14.111	35.923	205.81
183.6	14.099	35.921	205.76
184.6	14.077	35.92	205.72
185.5	14.044	35.917	205.66
186.5	14.018	35.911	205.59
187.5	13.999	35.907	205.51
188.5	13.982	35.906	205.42
189.5	13.963	35.904	205.32
190.5	13.95	35.901	205.23
191.5	13.942	35.899	205.15
192.5	13.93	35.898	205.08
193.5	13.917	35.896	205.0
194.5	13.91	35.893	204.93
195.5	13.906	35.892	204.86
196.5	13.895	35.893	204.78
197.5	13.871	35.894	204.72
198.4	13.848	35.89	204.66
199.4	13.835	35.885	204.61
200.4	13.832	35.883	204.58
201.4	13.822	35.883	204.55
202.4	13.805	35.881	204.51
203.4	13.791	35.878	204.47
204.4	13.78	35.876	204.43
205.4	13.772	35.875	204.39
206.4	13.763	35.875	204.36
207.4	13.75	35.875	204.34
208.4	13.734	35.873	204.33
209.4	13.719	35.87	204.32
210.3	13.699	35.867	204.32
211.3	13.682	35.864	204.32
212.3	13.668	35.861	204.32
213.3	13.652	35.86	204.33
214.3	13.63	35.859	204.35
215.3	13.607	35.856	204.39
216.3	13.588	35.851	204.43
217.3	13.581	35.846	204.46
218.3	13.578	35.845	204.49
219.3	13.571	35.845	204.51
220.3	13.558	35.845	204.52
221.3	13.543	35.844	204.52
222.2	13.529	35.842	204.51
223.2	13.518	35.839	204.49
224.2	13.506	35.838	204.47
225.2	13.492	35.837	204.43
226.2	13.478	35.835	204.38
227.2	13.47	35.834	204.31
228.2	13.463	35.833	204.25
229.2	13.453	35.832	204.18
230.2	13.44	35.831	204.11
231.2	13.424	35.83	204.04
232.2	13.411	35.828	203.96
233.2	13.403	35.826	203.88
234.1	13.399	35.825	203.81
235.1	13.393	35.825	203.73
236.1	13.386	35.825	203.65
237.1	13.375	35.824	203.58
238.1	13.363	35.823	203.5
239.1	13.352	35.822	203.43
240.1	13.343	35.821	203.35
241.1	13.335	35.82	203.29
242.1	13.327	35.819	203.22
243.1	13.313	35.819	203.16
244.1	13.294	35.818	203.1
245.0	13.276	35.814	203.05
246.0	13.259	35.811	203.0
247.0	13.247	35.809	202.95
248.0	13.238	35.807	202.91
249.0	13.23	35.806	202.87
250.0	13.224	35.805	202.83
251.0	13.218	35.804	202.79
252.0	13.211	35.804	202.75
253.0	13.2	35.804	202.7
254.0	13.188	35.803	202.65
255.0	13.175	35.801	202.6
256.0	13.165	35.799	202.55
256.9	13.158	35.798	202.5
257.9	13.144	35.798	202.45
258.9	13.123	35.796	202.39
259.9	13.106	35.793	202.32
260.9	13.094	35.791	202.24
261.9	13.087	35.789	202.16
262.9	13.081	35.788	202.09
263.9	13.072	35.787	202.03
264.9	13.062	35.786	201.97
265.9	13.054	35.784	201.91
266.9	13.048	35.783	201.84
267.9	13.042	35.783	201.77
268.8	13.033	35.783	201.71
269.8	13.024	35.782	201.66
270.8	13.013	35.781	201.64
271.8	13.0	35.78	201.62
272.8	12.985	35.778	201.62
273.8	12.974	35.775	201.61
274.8	12.969	35.773	201.6
275.8	12.965	35.773	201.59
276.8	12.962	35.772	201.58
277.8	12.954	35.773	201.58
278.8	12.94	35.773	201.59
279.7	12.93	35.771	201.59
280.7	12.919	35.769	201.58
281.7	12.904	35.769	201.56
282.7	12.886	35.768	201.54
283.7	12.866	35.765	201.51
284.7	12.849	35.762	201.48
285.7	12.835	35.76	201.45
286.7	12.821	35.758	201.41
287.7	12.809	35.756	201.37
288.7	12.797	35.754	201.34
289.7	12.787	35.753	201.31
290.7	12.778	35.751	201.27
291.6	12.768	35.75	201.23
292.6	12.756	35.75	201.19
293.6	12.738	35.749	201.15
294.6	12.72	35.747	201.12
295.6	12.708	35.743	201.09
296.6	12.697	35.742	201.06
297.6	12.678	35.741	201.03
298.6	12.659	35.738	201.0
299.6	12.647	35.735	200.96
300.6	12.642	35.734	200.93
301.6	12.637	35.733	200.9
302.5	12.63	35.732	200.88
303.5	12.624	35.731	200.86
304.5	12.62	35.731	200.83
305.5	12.61	35.73	200.81
306.5	12.596	35.73	200.78
307.5	12.58	35.728	200.75
308.5	12.563	35.727	200.71
309.5	12.548	35.725	200.68
310.5	12.535	35.722	200.65
311.5	12.525	35.721	200.62
